Time,HwTOutlet,PrimT,ChActive,HwActive,PrimTSet,ActPow,HwTSet
2017-11-30T00:40:11.005Z,29.3,,,,,,52
2017-11-30T00:40:21.006Z,29.3,,,,,,52
2017-11-30T00:40:31.009Z,29.2,,,,,,52
2017-11-30T00:40:41.005Z,29.2,,,,,,52
2017-11-30T00:40:51.005Z,29.2,,,,,,52
2017-11-30T00:41:01.005Z,29.2,,,,,,52
2017-11-30T00:41:11.006Z,29.2,,,,,,52
2017-11-30T00:41:21.005Z,29.2,,,,,,52
2017-11-30T00:41:31.005Z,29.2,,,,,,52
2017-11-30T00:41:41.005Z,29.2,,,,,,52
2017-11-30T00:41:51.005Z,29.2,,,,,,52
2017-11-30T00:42:01.005Z,29.1,,,,,,52
2017-11-30T00:42:11.005Z,29.1,,,,,,52
2017-11-30T00:42:21.005Z,29.1,,,,,,52
2017-11-30T00:42:31.005Z,29.1,,,,,,52
2017-11-30T00:42:41.005Z,29.1,,,,,,52
2017-11-30T00:42:51.006Z,29.1,,,,,,52
2017-11-30T00:43:01.006Z,29.1,,,,,,52
2017-11-30T00:43:11.004Z,29.1,,,,,,52
2017-11-30T00:43:21.004Z,29,,,,,,52
2017-11-30T00:43:31.015Z,29,35.7,1,0,,39,52
2017-11-30T00:43:41.015Z,29,38.3,,,,33,52
2017-11-30T00:43:51.005Z,29,36.5,,,,30,52
2017-11-30T00:44:01.007Z,29,35.8,,,,29,52
2017-11-30T00:44:11.005Z,29,34.1,,,,,52
2017-11-30T00:44:21.005Z,29,33.8,,,,,52
2017-11-30T00:44:31.005Z,29,,,,,30,52
2017-11-30T00:44:41.005Z,29,34,,,,30,52
2017-11-30T00:44:51.005Z,29,34.5,,,,,52
2017-11-30T00:45:01.010Z,29,34.8,,,,29,52
2017-11-30T00:45:11.005Z,29,35.1,,,,,52
2017-11-30T00:45:21.005Z,28.9,35.2,,,,,52
2017-11-30T00:45:31.005Z,28.9,35.3,,,,,52
2017-11-30T00:45:41.005Z,29,35.5,,,,,52
2017-11-30T00:45:51.005Z,28.9,35.7,,,,,52
2017-11-30T00:46:01.005Z,28.9,35.8,,,,,52
2017-11-30T00:46:11.005Z,28.9,36,,,,30,52
2017-11-30T00:46:21.005Z,28.9,36.2,,,,29,52
2017-11-30T00:46:31.005Z,28.9,36.4,,,,,52
2017-11-30T00:46:41.010Z,28.9,36.5,,,,,52
2017-11-30T00:46:51.005Z,28.9,36.6,,,,,52
2017-11-30T00:47:01.010Z,28.9,36.8,,,,30,52
2017-11-30T00:47:11.005Z,28.9,37.1,,,,29,52
2017-11-30T00:47:21.005Z,28.9,37.2,,,,30,52
2017-11-30T00:47:31.005Z,28.9,37.4,,,,,52
2017-11-30T00:47:41.005Z,28.9,37.5,,,,29,52
2017-11-30T00:47:51.004Z,28.9,37.7,,,,30,52
2017-11-30T00:48:01.004Z,28.9,37.8,,,,29,52
2017-11-30T00:48:11.007Z,28.9,38,,,,,52
2017-11-30T00:48:21.009Z,28.9,38.2,,,,,52
2017-11-30T00:48:31.005Z,28.9,38.3,,,,,52
2017-11-30T00:48:41.009Z,28.9,38.5,,,,,52
2017-11-30T00:48:51.005Z,28.9,38.7,,,,30,52
2017-11-30T00:49:01.004Z,28.9,38.8,,,,29,52
2017-11-30T00:49:11.005Z,28.9,39.1,,,,29,52
2017-11-30T00:49:21.005Z,28.9,39.3,,,,,52
2017-11-30T00:49:31.005Z,28.9,39.4,,,,30,52
2017-11-30T00:49:41.005Z,28.9,39.6,,,,,52
2017-11-30T00:49:51.005Z,28.9,39.7,,,,,52
2017-11-30T00:50:01.005Z,28.9,39.9,1,0,,0,52
2017-11-30T00:50:11.005Z,28.9,37.8,,,,,52
2017-11-30T00:50:21.009Z,28.9,35.9,,,,,52
2017-11-30T00:50:31.010Z,29,35.2,,,,,52
2017-11-30T00:50:41.005Z,29,34.9,,,,,52
2017-11-30T00:50:51.006Z,29,,,,,,52
2017-11-30T00:51:01.006Z,29,,,,,,52
2017-11-30T00:51:11.009Z,29,,,,,,52
2017-11-30T00:51:21.005Z,29,,,,,,52
2017-11-30T00:51:31.005Z,29,34.8,,,,,52
2017-11-30T00:51:41.010Z,29,34.7,,,,,52
2017-11-30T00:51:51.006Z,29,34.6,,,,,52
2017-11-30T00:52:01.005Z,29,34.5,,,,,52
2017-11-30T00:52:11.005Z,29,,,,,,52
2017-11-30T00:52:21.005Z,29,,,,,,52
2017-11-30T00:52:31.009Z,29,,,,,,52
2017-11-30T00:52:41.005Z,29,,,,,,52
2017-11-30T00:52:51.007Z,29,34.4,,,,,52
2017-11-30T00:53:01.005Z,29,,,,,,52
2017-11-30T00:53:11.006Z,29,,,,,,52
2017-11-30T00:53:21.007Z,29,34.3,,,,,52
2017-11-30T00:53:31.007Z,29,,,,,,52
2017-11-30T00:53:41.007Z,29,,,,,,52
2017-11-30T00:53:51.064Z,29,,,,,,52
2017-11-30T00:54:01.005Z,29,,,,,,52
2017-11-30T00:54:11.007Z,29,,,,,,52
2017-11-30T00:54:21.036Z,29,,,,,,52
2017-11-30T00:54:31.005Z,29,,,,,,52
2017-11-30T00:54:41.018Z,29,,,,,,52
2017-11-30T00:54:51.021Z,29,,,,,,52
2017-11-30T00:55:01.004Z,29,,,,,,52
2017-11-30T00:55:11.008Z,29.1,,,,,,52
2017-11-30T00:55:21.008Z,29,,,,,,52
2017-11-30T00:55:31.005Z,29,,,,,,52
2017-11-30T00:55:41.005Z,29,,,,,,52
2017-11-30T00:55:51.005Z,29.1,34.4,,,,,52
2017-11-30T00:56:01.009Z,29.1,,,,,,52
2017-11-30T00:56:11.009Z,29.1,,,,,,52
2017-11-30T00:56:21.008Z,29,,,,,,52
2017-11-30T00:56:31.008Z,29.1,,,,,,52
2017-11-30T00:56:41.009Z,29.1,34.5,,,,,52
2017-11-30T00:56:51.035Z,29.1,,,,,,52
2017-11-30T00:57:01.009Z,29.1,,,,,,52
2017-11-30T00:57:11.004Z,29.1,,,,,,52
2017-11-30T00:57:21.005Z,29.1,34.6,,,,,52
2017-11-30T00:57:31.011Z,29.1,,,,,,52
2017-11-30T00:57:41.009Z,29.1,,,,,,52
2017-11-30T00:57:51.005Z,29.1,,,,,,52
2017-11-30T00:58:01.009Z,29.1,,,,,,52
2017-11-30T00:58:11.005Z,29.1,34.7,,,,,52
2017-11-30T00:58:21.004Z,29,34.7,1,0,58,0,52
2017-11-30T00:58:31.005Z,29,,,,,,52
2017-11-30T00:58:41.005Z,29,,,,,,52
2017-11-30T00:58:51.005Z,29,,,,,,52
2017-11-30T00:59:01.008Z,29,,,,,,52
2017-11-30T00:59:11.004Z,29,,,,,,52
2017-11-30T00:59:21.004Z,29,,,,,,52
2017-11-30T00:59:31.015Z,29,,,,,,52
2017-11-30T00:59:41.005Z,29,,,,,,52
2017-11-30T00:59:51.004Z,29,,,,,,52
2017-11-30T01:00:01.005Z,29.1,,,,,,52
2017-11-30T01:00:11.004Z,29,,,,,,52
2017-11-30T01:00:21.005Z,29,34.8,,,,,52
2017-11-30T01:00:31.005Z,29,34.7,,,,,52
2017-11-30T01:00:41.170Z,29,,,,,,52
2017-11-30T01:00:51.004Z,29,,,,,,52
2017-11-30T01:01:01.005Z,29,,,,,,52
2017-11-30T01:01:11.005Z,29,,,,,,52
2017-11-30T01:01:21.011Z,29,,,,,,52
2017-11-30T01:01:31.005Z,29,,,,,,52
2017-11-30T01:01:41.004Z,29,,,,,,52
2017-11-30T01:01:51.004Z,29,,,,,,52
2017-11-30T01:02:01.005Z,29,,,,,,52
2017-11-30T01:02:11.004Z,29,,,,,,52
2017-11-30T01:02:21.005Z,29,,,,,,52
2017-11-30T01:02:31.004Z,29,,,,,,52
2017-11-30T01:02:41.006Z,29,,,,,,52
2017-11-30T01:02:51.147Z,29,,,,,,52
2017-11-30T01:03:01.007Z,29,,,,,,52
2017-11-30T01:03:11.009Z,29,34.6,,,,,52
2017-11-30T01:03:21.010Z,29,,,,,,52
2017-11-30T01:03:31.005Z,29,,1,0,,44,52
2017-11-30T01:03:41.021Z,29,40.2,,,,36,52
2017-11-30T01:03:51.011Z,29,39.8,,,,29,52
2017-11-30T01:04:01.004Z,29,38.5,,,,,52
2017-11-30T01:04:11.016Z,29,36.9,,,,30,52
2017-11-30T01:04:21.004Z,29,36.2,,,,29,52
2017-11-30T01:04:31.005Z,29,35.9,,,,30,52
2017-11-30T01:04:41.004Z,29,36,,,,29,52
2017-11-30T01:04:51.004Z,29,36.5,,,,,52
2017-11-30T01:05:01.005Z,29,37.1,,,,,52
2017-11-30T01:05:11.007Z,29,37.2,,,,30,52
2017-11-30T01:05:21.009Z,29,37.3,,,,29,52
2017-11-30T01:05:31.011Z,29,37.4,,,,30,52
2017-11-30T01:05:41.018Z,29,37.6,,,,,52
2017-11-30T01:05:51.004Z,29,37.7,,,,29,52
2017-11-30T01:06:01.023Z,29,37.9,,,,29,52
2017-11-30T01:06:11.004Z,29,38.1,,,,30,52
2017-11-30T01:06:21.005Z,29,38.2,,,,29,52
2017-11-30T01:06:31.009Z,29,38.4,,,,,52
2017-11-30T01:06:41.025Z,29,38.6,,,,,52
2017-11-30T01:06:51.007Z,29,38.7,,,,,52
2017-11-30T01:07:01.005Z,29,38.8,,,,,52
2017-11-30T01:07:11.009Z,29,39.1,,,,30,52
2017-11-30T01:07:21.004Z,29,39.2,,,,29,52
2017-11-30T01:07:31.004Z,29,39.4,,,,30,52
2017-11-30T01:07:41.005Z,29,39.5,,,,29,52
2017-11-30T01:07:51.004Z,29,39.7,,,,,52
2017-11-30T01:08:01.021Z,29,39.8,,,,30,52
2017-11-30T01:08:11.010Z,29,40,,,,29,52
2017-11-30T01:08:21.005Z,29.1,40.1,,,,,52
2017-11-30T01:08:31.006Z,29.1,40.3,,,,30,52
2017-11-30T01:08:41.004Z,29.1,40.4,,,,29,52
2017-11-30T01:08:51.005Z,29.1,40.6,,,,,52
2017-11-30T01:09:01.009Z,29.1,40.7,,,,,52
2017-11-30T01:09:11.004Z,29.1,40.9,,,,,52
2017-11-30T01:09:21.004Z,29.1,41,,,,29,52
2017-11-30T01:09:31.007Z,29.1,41.2,,,,,52
2017-11-30T01:09:41.005Z,29.1,41.4,,,,29,52
2017-11-30T01:09:51.008Z,29.1,38.9,1,0,,0,52
2017-11-30T01:10:01.038Z,29.1,37.7,,,,,52
2017-11-30T01:10:11.004Z,29.1,36.6,,,,,52
2017-11-30T01:10:21.019Z,29.1,36.5,,,,,52
2017-11-30T01:10:31.006Z,29.2,36.4,,,,,52
2017-11-30T01:10:41.005Z,29.2,,,,,,52
2017-11-30T01:10:51.004Z,29.2,,,,,,52
2017-11-30T01:11:01.004Z,29.2,,,,,,52
2017-11-30T01:11:11.004Z,29.2,36.3,,,,,52
2017-11-30T01:11:21.004Z,29.2,36.2,,,,,52
2017-11-30T01:11:31.007Z,29.2,36.1,,,,,52
2017-11-30T01:11:41.004Z,29.2,36,,,,,52
2017-11-30T01:11:51.005Z,29.2,,,,,,52
2017-11-30T01:12:01.006Z,29.2,,,,,,52
2017-11-30T01:12:11.004Z,29.2,,,,,,52
2017-11-30T01:12:21.004Z,29.3,35.9,,,,,52
2017-11-30T01:12:31.010Z,29.3,,,,,,52
2017-11-30T01:12:41.009Z,29.3,35.8,,,,,52
2017-11-30T01:12:51.005Z,29.3,,,,,,52
2017-11-30T01:13:01.004Z,29.3,,,,,,52
2017-11-30T01:13:11.004Z,29.3,,,,,,52
2017-11-30T01:13:21.005Z,29.3,,,,,,52
2017-11-30T01:13:31.004Z,29.3,,,,,,52
