Time,ChActive,HwTSet,HwActive,HwTOutlet,ActPow,PrimT,PrimTSet
2018-01-18T00:31:11.253Z,0,50,2,38.8,55,40.2,
2018-01-18T00:31:21.324Z,0,50,0,38.9,0,40.3,
2018-01-18T00:31:31.244Z,,50,,38.8,,40.1,
2018-01-18T00:31:41.244Z,0,50,2,38.6,49,39.9,
2018-01-18T00:31:51.245Z,0,50,0,38.5,0,39.7,
2018-01-18T00:32:01.244Z,,50,,38.4,,39.2,
2018-01-18T00:32:11.253Z,,50,,38.3,,,
2018-01-18T00:32:21.324Z,,50,,38.3,,39.1,
2018-01-18T00:32:31.244Z,,50,,38.2,,39.2,
2018-01-18T00:32:41.266Z,,50,,38.2,,39.1,
2018-01-18T00:32:51.244Z,1,50,0,38.1,,,59
2018-01-18T00:33:01.244Z,,50,,38.1,,,
2018-01-18T00:33:11.294Z,,50,,38,,,
2018-01-18T00:33:21.338Z,,50,,37.9,,,
2018-01-18T00:33:31.272Z,,50,,37.9,,,
2018-01-18T00:33:41.244Z,,50,,37.8,,,
2018-01-18T00:33:51.244Z,,50,,37.8,,,
2018-01-18T00:34:01.248Z,,50,,37.7,,,
2018-01-18T00:34:11.253Z,0,50,0,37.7,,,5
2018-01-18T00:34:21.351Z,1,50,0,37.6,,,59
2018-01-18T00:34:31.257Z,,50,,37.6,,,
2018-01-18T00:34:41.253Z,,50,,37.5,,,
2018-01-18T00:34:51.270Z,0,50,0,37.5,,39.2,5
2018-01-18T00:35:01.244Z,,50,,37.4,,,
2018-01-18T00:35:11.244Z,,50,,37.3,,,
2018-01-18T00:35:21.467Z,,50,,37.3,,,
2018-01-18T00:35:31.301Z,,50,,37.2,,,
2018-01-18T00:35:41.280Z,,50,,37.2,,,
2018-01-18T00:35:51.268Z,,50,,37.1,,,
2018-01-18T00:36:01.280Z,,50,,37.1,,39.3,
2018-01-18T00:36:11.245Z,,50,,36.9,,,
2018-01-18T00:36:21.442Z,,50,,36.9,,,
2018-01-18T00:36:31.244Z,,50,,36.8,,,
2018-01-18T00:36:41.244Z,,50,,36.7,,,
2018-01-18T00:36:51.244Z,,50,,36.7,,,
2018-01-18T00:37:01.244Z,,50,,36.7,,39.4,
2018-01-18T00:37:11.253Z,,50,,36.6,,,
2018-01-18T00:37:21.324Z,,50,,36.5,,,
2018-01-18T00:37:31.244Z,,50,,36.5,,,
