Time,ChActive,HwTSet,PrimTSet,HwTOutlet,ActPow,PrimT,HwActive
2017-12-29T00:27:32.838Z,,50,,25.6,,,
2017-12-29T00:27:42.838Z,,50,,25.6,,,
2017-12-29T00:27:52.838Z,,50,,25.6,,,
2017-12-29T00:28:02.838Z,,50,,25.6,,,
2017-12-29T00:28:12.845Z,,50,,25.6,,,
2017-12-29T00:28:22.846Z,,50,,25.6,,41.4,
2017-12-29T00:28:32.889Z,,50,,25.6,,,
2017-12-29T00:28:42.838Z,,50,,25.6,,,
2017-12-29T00:28:52.838Z,,50,,25.6,,,
2017-12-29T00:29:02.838Z,,50,,25.6,,,
2017-12-29T00:29:12.838Z,,50,,25.6,,,
2017-12-29T00:29:22.838Z,,50,,25.6,,,
2017-12-29T00:29:32.838Z,,50,,25.6,,,
2017-12-29T00:29:42.838Z,,50,,25.6,,,
2017-12-29T00:29:52.838Z,,50,,25.6,,41.3,
2017-12-29T00:30:02.838Z,,50,,25.5,,,
2017-12-29T00:30:12.838Z,,50,,25.6,,,
2017-12-29T00:30:22.838Z,,50,,25.5,,,
2017-12-29T00:30:32.838Z,,50,,25.5,,,
2017-12-29T00:30:42.838Z,,50,,25.5,,,
2017-12-29T00:30:52.838Z,,50,,25.5,,,
2017-12-29T00:31:02.838Z,,50,,25.5,,,
2017-12-29T00:31:12.838Z,,50,,25.5,,,
2017-12-29T00:31:22.838Z,,50,,25.5,,41.2,
2017-12-29T00:31:32.837Z,,50,,25.5,,,
2017-12-29T00:31:42.838Z,,50,,25.5,,,
2017-12-29T00:31:52.838Z,,50,,25.5,,,
2017-12-29T00:32:02.838Z,,50,,25.5,,,
2017-12-29T00:32:12.838Z,,50,,25.5,,,
2017-12-29T00:32:22.838Z,,50,,25.5,,,
2017-12-29T00:32:32.838Z,,50,,25.5,,,
2017-12-29T00:32:42.839Z,,50,,25.5,,,
2017-12-29T00:32:52.839Z,,50,,25.4,,41.1,
2017-12-29T00:33:02.839Z,,50,,25.4,,,
2017-12-29T00:33:12.838Z,,50,,25.4,,,
2017-12-29T00:33:22.838Z,,50,,25.4,,,
2017-12-29T00:33:32.838Z,,50,,25.4,,,
2017-12-29T00:33:42.837Z,,50,,25.4,,,
2017-12-29T00:33:52.838Z,,50,,25.4,,,
2017-12-29T00:34:02.838Z,,50,,25.4,,,
2017-12-29T00:34:12.838Z,,50,,25.4,,,
2017-12-29T00:34:22.838Z,,50,,25.4,,,
2017-12-29T00:34:32.837Z,,50,,25.4,,,
2017-12-29T00:34:42.838Z,,50,,25.4,,41,
2017-12-29T00:34:52.838Z,,50,,25.4,,,
2017-12-29T00:35:02.838Z,,50,,25.4,,,
2017-12-29T00:35:12.838Z,,50,,25.4,,,
2017-12-29T00:35:22.837Z,,50,,25.3,,,
2017-12-29T00:35:32.838Z,,50,,25.3,,,
2017-12-29T00:35:42.838Z,,50,,25.3,,,
2017-12-29T00:35:52.838Z,,50,,25.3,,,
2017-12-29T00:36:02.838Z,,50,,25.3,,41,
2017-12-29T00:36:12.838Z,,50,,25.3,,41,
