Time,ActPow,HwTOutlet,HwTSet,HwActive,ChActive,PrimTSet,PrimT
2017-11-24T00:48:31.215Z,,28.9,52,,,,
2017-11-24T00:48:41.307Z,,28.9,52,,,,
2017-11-24T00:48:51.232Z,,28.9,52,,,,34.3
2017-11-24T00:49:01.218Z,,28.9,52,,,,
2017-11-24T00:49:11.217Z,,28.9,52,,,,
2017-11-24T00:49:21.215Z,,28.9,52,,,,
2017-11-24T00:49:31.215Z,,28.9,52,,,,
2017-11-24T00:49:41.305Z,,28.9,52,,,,
2017-11-24T00:49:51.215Z,,28.9,52,,,,
2017-11-24T00:50:01.215Z,,28.9,52,,,,
2017-11-24T00:50:11.216Z,,28.9,52,,,,
2017-11-24T00:50:21.215Z,,28.9,52,,,,
2017-11-24T00:50:31.217Z,,28.9,52,,,,
2017-11-24T00:50:41.308Z,,28.9,52,,,,
2017-11-24T00:50:51.215Z,,28.9,52,,,,
2017-11-24T00:51:01.215Z,,28.9,52,,,,
2017-11-24T00:51:21.215Z,,28.9,52,,,,
2017-11-24T00:51:31.215Z,,28.9,52,,,,
2017-11-24T00:51:41.306Z,,28.9,52,,,,
2017-11-24T00:51:51.216Z,,28.9,52,,,,
2017-11-24T00:52:01.216Z,,28.9,52,,,,
2017-11-24T00:52:11.215Z,,28.9,52,,,,34.2
2017-11-24T00:52:21.220Z,,28.9,52,,,,
2017-11-24T00:52:31.216Z,,28.9,52,,,,
2017-11-24T00:52:41.305Z,,28.9,52,,,,
2017-11-24T00:52:51.221Z,,28.9,52,,,,
2017-11-24T00:53:01.215Z,,28.9,52,,,,
2017-11-24T00:53:21.215Z,,28.9,52,,,,
2017-11-24T00:53:31.215Z,,28.9,52,,,,
2017-11-24T00:53:41.306Z,,28.9,52,,,,
2017-11-24T00:53:51.215Z,,28.9,52,,,,
2017-11-24T00:54:01.216Z,,28.9,52,,,,
2017-11-24T00:54:21.215Z,,28.9,52,,,,34.1
2017-11-24T00:54:31.215Z,,28.9,52,,,,
2017-11-24T00:54:41.305Z,,28.9,52,,,,
2017-11-24T00:54:51.215Z,,28.9,52,,,,
2017-11-24T00:55:01.216Z,,28.9,52,,,,
2017-11-24T00:55:21.215Z,,28.9,52,,,,
2017-11-24T00:55:31.216Z,,28.9,52,,,,
2017-11-24T00:55:41.305Z,,28.9,52,,,,
2017-11-24T00:55:51.215Z,,28.9,52,,,,
2017-11-24T00:56:01.216Z,,28.9,52,,,,
2017-11-24T00:56:11.231Z,,28.9,52,,,,
2017-11-24T00:56:21.215Z,,28.9,52,,,,34
2017-11-24T00:56:31.218Z,,28.9,52,,,,
2017-11-24T00:56:41.305Z,,28.9,52,,,,
2017-11-24T00:56:51.234Z,,28.9,52,,,,
2017-11-24T00:57:01.215Z,,28.9,52,,,,
2017-11-24T00:57:11.215Z,,28.7,52,,,,
2017-11-24T00:57:21.230Z,,28.9,52,,,,
2017-11-24T00:57:31.215Z,,28.7,52,,,,
2017-11-24T00:57:51.215Z,,28.7,52,,,,33.9
2017-11-24T00:58:01.215Z,,28.7,52,,,,
2017-11-24T00:58:21.215Z,,28.7,52,,,,
2017-11-24T00:58:31.215Z,,28.7,52,,,,
2017-11-24T00:58:41.305Z,,28.7,52,,,,
2017-11-24T00:58:51.215Z,,28.7,52,,,,
2017-11-24T00:59:01.215Z,,28.7,52,,,,
2017-11-24T00:59:21.219Z,,28.7,52,,,,
2017-11-24T00:59:31.221Z,,28.7,52,,,,
2017-11-24T00:59:41.306Z,,28.7,52,,,,
2017-11-24T00:59:51.220Z,,28.7,52,,,,
2017-11-24T01:00:01.216Z,,28.7,52,,,,33.8
2017-11-24T01:00:11.215Z,,28.7,52,,,,
2017-11-24T01:00:21.215Z,,28.7,52,,,,
2017-11-24T01:00:31.215Z,,28.7,52,,,,
2017-11-24T01:00:41.341Z,,28.7,52,,,,
2017-11-24T01:00:51.216Z,,28.7,52,,,,
2017-11-24T01:01:01.215Z,,28.7,52,,,,
2017-11-24T01:01:21.216Z,,28.7,52,,,,
2017-11-24T01:01:31.216Z,,28.7,52,,,,
2017-11-24T01:01:41.306Z,,28.7,52,,,,
2017-11-24T01:01:51.270Z,,28.7,52,,,,33.7
2017-11-24T01:02:01.263Z,,28.7,52,,,,
2017-11-24T01:02:21.235Z,,28.7,52,,,,
2017-11-24T01:02:31.228Z,,28.6,52,,,,
2017-11-24T01:02:41.306Z,,28.7,52,,,,
2017-11-24T01:02:51.216Z,,28.6,52,,,,
2017-11-24T01:03:01.216Z,,28.6,52,,,,
2017-11-24T01:03:11.216Z,,28.7,52,,,,
2017-11-24T01:03:21.220Z,,28.6,52,,,,
2017-11-24T01:03:31.216Z,,28.6,52,,,,
2017-11-24T01:03:41.306Z,,28.6,52,,,,
2017-11-24T01:03:51.216Z,,28.6,52,,,,
2017-11-24T01:04:01.215Z,,28.6,52,,,,
2017-11-24T01:04:11.217Z,,28.6,52,,,,
2017-11-24T01:04:21.217Z,,28.6,52,,,,33.6
2017-11-24T01:04:31.216Z,,28.6,52,,,,
2017-11-24T01:04:41.306Z,,28.6,52,,,,33.7
2017-11-24T01:04:51.216Z,,28.6,52,,,,33.6
2017-11-24T01:05:01.217Z,,28.6,52,,,,
2017-11-24T01:05:11.216Z,,28.6,52,,,,
2017-11-24T01:05:21.216Z,,28.6,52,,,,
2017-11-24T01:05:31.219Z,,28.6,52,,,,
2017-11-24T01:05:41.306Z,,28.6,52,,,,
2017-11-24T01:05:51.216Z,,28.6,52,,,,
2017-11-24T01:06:01.216Z,,28.6,52,,,,
2017-11-24T01:06:11.215Z,,28.6,52,,,,
2017-11-24T01:06:21.215Z,,28.6,52,,,,
2017-11-24T01:06:31.215Z,,28.6,52,,,,
2017-11-24T01:06:41.306Z,,28.6,52,,,,
2017-11-24T01:06:51.216Z,,28.6,52,,,,33.6
2017-11-24T01:07:01.216Z,,28.6,52,,,,
2017-11-24T01:07:21.216Z,,28.6,52,,,,33.5
2017-11-24T01:07:31.215Z,,28.5,52,,,,
2017-11-24T01:07:41.345Z,,28.5,52,,,,
2017-11-24T01:07:51.216Z,,28.5,52,,,,
2017-11-24T01:08:01.219Z,,28.5,52,,,,
2017-11-24T01:08:11.220Z,,28.5,52,,,,
2017-11-24T01:08:21.216Z,,28.5,52,,,,
2017-11-24T01:08:31.216Z,,28.5,52,,,,
2017-11-24T01:08:41.306Z,,28.5,52,,,,
2017-11-24T01:08:51.216Z,,28.5,52,,,,
2017-11-24T01:09:01.220Z,,28.5,52,,,,
2017-11-24T01:09:21.216Z,,28.5,52,,,,33.4
2017-11-24T01:09:31.216Z,,28.5,52,,,,
2017-11-24T01:09:41.305Z,,28.5,52,,,,33.5
2017-11-24T01:09:51.215Z,,28.5,52,,,,33.4
2017-11-24T01:10:01.221Z,,28.5,52,,,,
2017-11-24T01:10:11.215Z,,28.5,52,,,,
2017-11-24T01:10:21.215Z,,28.5,52,,,,
2017-11-24T01:10:31.215Z,,28.5,52,,,,
2017-11-24T01:10:41.305Z,,28.5,52,,,,
2017-11-24T01:10:51.219Z,,28.5,52,,,,
2017-11-24T01:11:01.215Z,,28.4,52,,,,
2017-11-24T01:11:21.216Z,,28.5,52,,,,
2017-11-24T01:11:31.215Z,,28.4,52,,,,
2017-11-24T01:11:41.305Z,,28.4,52,,,,
2017-11-24T01:11:51.215Z,,28.4,52,,,,
2017-11-24T01:12:01.215Z,,28.4,52,,,,
2017-11-24T01:12:11.219Z,,28.4,52,,,,
2017-11-24T01:12:21.215Z,,28.4,52,,,,
2017-11-24T01:12:31.217Z,,28.4,52,,,,
2017-11-24T01:12:41.305Z,,28.4,52,,,,
2017-11-24T01:12:51.215Z,,28.4,52,,,,
2017-11-24T01:13:01.221Z,,28.4,52,,,,33.3
2017-11-24T01:13:11.215Z,,28.4,52,,,,
2017-11-24T01:13:21.219Z,,28.4,52,,,,33.3
2017-11-24T01:13:31.215Z,,28.4,52,,,,
2017-11-24T01:13:41.305Z,,28.4,52,,,,
2017-11-24T01:13:51.216Z,44,28.4,52,0,2,,34.1
2017-11-24T01:14:01.215Z,38,,,,,,38.1
2017-11-24T01:14:11.215Z,29,28.4,52,,,,38.6
2017-11-24T01:14:21.215Z,,28.4,52,,,,
2017-11-24T01:14:31.215Z,,,,,,,36.6
2017-11-24T01:14:41.310Z,30,,,,,,35.5
2017-11-24T01:14:51.218Z,30,28.3,52,,,,33.3
2017-11-24T01:15:01.219Z,,28.3,52,,,,32.3
2017-11-24T01:15:11.215Z,29,,,,,,31.9
2017-11-24T01:15:21.215Z,29,28.4,52,,,,32.3
2017-11-24T01:15:31.215Z,,28.3,52,,,,
2017-11-24T01:15:41.305Z,,,,,,,32.7
2017-11-24T01:15:51.215Z,,28.3,52,,,,33.1
2017-11-24T01:16:01.215Z,30,28.3,52,,,,33.3
2017-11-24T01:16:11.215Z,29,28.3,52,,,,33.4
2017-11-24T01:16:21.215Z,,28.3,52,,,,
2017-11-24T01:16:31.221Z,,,,,,,33.6
2017-11-24T01:16:41.319Z,,28.3,52,,,,33.8
2017-11-24T01:16:51.215Z,29,28.3,52,,,,34.2
2017-11-24T01:17:01.215Z,30,28.3,52,,,,34.4
2017-11-24T01:17:11.220Z,,28.3,52,,,,
2017-11-24T01:17:21.219Z,29,,,,,,34.8
2017-11-24T01:17:31.273Z,,28.3,52,,,,
2017-11-24T01:17:41.365Z,,,,,,,35.1
2017-11-24T01:17:51.216Z,29,28.3,52,,,,35.4
2017-11-24T01:18:01.237Z,,28.3,52,,,,
2017-11-24T01:18:11.215Z,30,,,,,,35.8
2017-11-24T01:18:21.217Z,,28.3,52,,,,36
2017-11-24T01:18:31.215Z,29,,,,,,36.1
2017-11-24T01:18:51.215Z,,28.4,52,,,,36.3
2017-11-24T01:19:01.215Z,,,,,,,36.5
2017-11-24T01:19:11.215Z,,28.3,52,,,,36.8
2017-11-24T01:19:21.215Z,,28.4,52,,,,
2017-11-24T01:19:31.219Z,29,,,,,,37.2
2017-11-24T01:19:51.216Z,30,28.4,52,,,,37.4
2017-11-24T01:20:01.215Z,29,,,,,,37.5
2017-11-24T01:20:11.215Z,,28.4,52,,,,37.9
2017-11-24T01:20:21.215Z,30,28.4,52,,,,38
2017-11-24T01:20:31.215Z,,28.4,52,,,,
2017-11-24T01:20:41.330Z,29,,,,,,38.2
2017-11-24T01:20:51.215Z,,28.4,52,,,,38.5
2017-11-24T01:21:01.215Z,,28.4,52,,,,
2017-11-24T01:21:11.215Z,,,,,,,38.7
2017-11-24T01:21:21.215Z,,28.4,52,,,,39.1
2017-11-24T01:21:31.215Z,,28.5,52,,,,
2017-11-24T01:21:41.308Z,,,,,,,39.3
2017-11-24T01:21:51.215Z,,28.5,52,,,,39.6
2017-11-24T01:22:01.215Z,,28.5,52,,,,
2017-11-24T01:22:11.215Z,,,,,,,39.7
2017-11-24T01:22:21.215Z,30,28.5,52,,,,40
2017-11-24T01:22:31.216Z,,28.5,52,,,,40.1
2017-11-24T01:22:41.305Z,,28.5,52,,,,40.2
2017-11-24T01:22:51.218Z,30,28.5,52,,,,40.5
2017-11-24T01:23:01.216Z,29,28.5,52,,,,40.7
2017-11-24T01:23:11.216Z,,28.6,52,,,,
2017-11-24T01:23:21.215Z,,,,,,,41
2017-11-24T01:23:31.215Z,,28.6,52,,,,
2017-11-24T01:23:41.305Z,,28.6,52,,,,41.1
2017-11-24T01:23:51.215Z,29,28.6,52,,,,41.4
2017-11-24T01:24:01.217Z,,28.6,52,,,,
2017-11-24T01:24:11.215Z,,,,,,,41.6
