Time,ChActive,HwActive,PrimTSet,PrimT,HwTOutlet,ActPow,HwTSet
2018-01-08T00:28:02.535Z,,,,,30.6,,50
2018-01-08T00:28:22.526Z,,,,,30.6,,50
2018-01-08T00:28:32.526Z,,,,,30.6,,50
2018-01-08T00:28:52.526Z,,,,,30.6,,50
2018-01-08T00:29:02.526Z,,,,,30.6,,50
2018-01-08T00:29:12.526Z,,,,38.3,,,
2018-01-08T00:29:22.526Z,,,,,30.6,,50
2018-01-08T00:29:32.537Z,,,,,30.4,,50
2018-01-08T00:29:52.528Z,,,,,30.4,,50
2018-01-08T00:30:02.526Z,,,,,30.4,,50
2018-01-08T00:30:22.526Z,,,,,30.4,,50
2018-01-08T00:30:32.528Z,,,,38.2,30.4,,50
2018-01-08T00:30:52.526Z,,,,,30.4,,50
2018-01-08T00:31:02.526Z,,,,,30.4,,50
2018-01-08T00:31:22.526Z,,,,,30.4,,50
2018-01-08T00:31:32.526Z,,,,,30.4,,50
2018-01-08T00:31:42.526Z,,,,38.1,,,
2018-01-08T00:31:52.526Z,,,,,30.4,,50
2018-01-08T00:32:02.526Z,,,,,30.4,,50
2018-01-08T00:32:22.526Z,,,,,30.4,,50
2018-01-08T00:32:32.527Z,,,,,30.4,,50
2018-01-08T00:32:52.526Z,,,,,30.3,,50
2018-01-08T00:33:02.526Z,,,,,30.3,,50
2018-01-08T00:33:12.526Z,,,,38,,,
2018-01-08T00:33:22.526Z,,,,,30.3,,50
2018-01-08T00:33:32.526Z,,,,,30.3,,50
2018-01-08T00:33:52.526Z,,,,,30.3,,50
2018-01-08T00:34:12.526Z,,,,,30.3,,50
2018-01-08T00:34:22.526Z,,,,,30.3,,50
2018-01-08T00:34:32.526Z,,,,38,,,
2018-01-08T00:34:42.526Z,,,,37.9,30.3,,50
2018-01-08T00:34:52.526Z,,,,37.9,30.3,,50
2018-01-08T00:35:02.526Z,,,,,30.3,,50
2018-01-08T00:35:22.526Z,,,,,30.3,,50
2018-01-08T00:35:32.527Z,,,,,30.3,,50
2018-01-08T00:35:42.526Z,,,,,30.2,,50
2018-01-08T00:36:02.526Z,,,,,30.2,,50
2018-01-08T00:36:12.526Z,,,,,30.2,,50
2018-01-08T00:36:22.526Z,1,0,,40.8,30.2,42,50
2018-01-08T00:36:32.536Z,,,,43.8,30.2,29,50
2018-01-08T00:36:42.526Z,,,,39.7,30.2,29,50
2018-01-08T00:36:52.527Z,,,,37.6,30.2,,50
2018-01-08T00:37:02.526Z,,,,35.7,30.2,29,50
2018-01-08T00:37:12.526Z,,,,,30.2,,50
2018-01-08T00:37:22.526Z,,,,35.2,,30,
2018-01-08T00:37:32.527Z,,,,35.7,30.2,,50
2018-01-08T00:37:42.526Z,,,,36.2,30.2,29,50
2018-01-08T00:37:52.527Z,,,,,30.2,,50
2018-01-08T00:38:02.526Z,,,,36.4,,,
2018-01-08T00:38:12.526Z,,,,36.7,30.2,30,50
2018-01-08T00:38:22.526Z,,,,,30.2,,50
2018-01-08T00:38:32.527Z,,,,37.2,30.2,29,50
2018-01-08T00:38:42.527Z,,,,,30.2,,50
2018-01-08T00:38:52.528Z,,,,37.4,,,
2018-01-08T00:39:02.526Z,,,,37.9,30.2,30,50
2018-01-08T00:39:12.526Z,,,,38.1,30.2,29,50
2018-01-08T00:39:22.527Z,,,,,30.2,,50
2018-01-08T00:39:32.527Z,,,,38.3,,,
2018-01-08T00:39:42.526Z,,,,38.7,30.1,,50
2018-01-08T00:39:52.527Z,,,,,30.2,,50
2018-01-08T00:40:02.526Z,,,,39.1,,30,
2018-01-08T00:40:12.526Z,,,,,30.1,,50
2018-01-08T00:40:22.526Z,,,,39.3,,,
2018-01-08T00:40:32.526Z,,,,39.5,30.1,,50
2018-01-08T00:40:42.526Z,,,,39.8,30.1,29,50
2018-01-08T00:40:52.526Z,,,,,30.2,,50
2018-01-08T00:41:02.526Z,,,,40.1,,30,
2018-01-08T00:41:12.526Z,,,,,30.1,,50
2018-01-08T00:41:22.526Z,,,,40.2,,,
2018-01-08T00:41:32.526Z,,,,40.3,30.2,29,50
2018-01-08T00:41:42.526Z,,,,40.6,30.2,,50
2018-01-08T00:41:52.526Z,,,,,30.1,,50
2018-01-08T00:42:02.526Z,,,,40.7,,,
2018-01-08T00:42:12.525Z,,,,41,30.2,30,50
2018-01-08T00:42:22.526Z,,,,,30.2,,50
2018-01-08T00:42:32.526Z,,,,41.2,30.2,,50
2018-01-08T00:42:42.526Z,,,,41.3,30.2,29,50
2018-01-08T00:42:52.526Z,,,,41.4,30.2,,50
2018-01-08T00:43:02.526Z,,,,41.6,,30,
2018-01-08T00:43:12.526Z,,,,41.9,30.2,30,50
2018-01-08T00:43:22.526Z,,,,42,30.2,29,50
2018-01-08T00:43:32.526Z,,,,42.2,30.2,29,50
2018-01-08T00:43:42.528Z,,,,,30.2,,50
2018-01-08T00:43:52.526Z,,,,42.3,,30,
2018-01-08T00:44:02.526Z,,,,42.6,30.2,,50
2018-01-08T00:44:12.526Z,,,,42.8,30.2,29,50
2018-01-08T00:44:22.526Z,,,,43.1,,,
2018-01-08T00:44:32.526Z,,,,43.2,30.2,29,50
2018-01-08T00:44:42.525Z,,,,,30.2,,50
2018-01-08T00:44:52.526Z,,,,43.4,30.3,,50
2018-01-08T00:45:02.526Z,,,,43.5,30.3,,50
2018-01-08T00:45:12.527Z,,,,43.6,30.3,,50
2018-01-08T00:45:22.526Z,,,,43.8,30.3,,50
2018-01-08T00:45:32.526Z,,,,44,30.3,30,50
2018-01-08T00:45:42.526Z,,,,,30.3,,50
2018-01-08T00:45:52.527Z,,,,44.1,30.3,29,50
2018-01-08T00:46:02.526Z,1,0,,42.8,30.3,0,50
2018-01-08T00:46:12.526Z,,,,40.9,30.3,,50
2018-01-08T00:46:22.526Z,,,,39.9,30.3,,50
2018-01-08T00:46:32.530Z,,,,39.6,30.3,,50
2018-01-08T00:46:42.526Z,,,,39.4,30.4,,50
2018-01-08T00:46:52.526Z,,,,39.3,30.4,,50
2018-01-08T00:47:02.526Z,,,,,30.4,,50
2018-01-08T00:47:12.552Z,,,,,30.4,,50
2018-01-08T00:47:22.526Z,,,,,30.4,,50
2018-01-08T00:47:32.527Z,,,,38.9,30.4,,50
2018-01-08T00:47:42.526Z,,,,,30.4,,50
2018-01-08T00:47:52.526Z,1,0,59,38.8,30.4,0,50
2018-01-08T00:48:02.526Z,,,,38.7,30.4,,50
2018-01-08T00:48:12.525Z,,,,,30.4,,50
2018-01-08T00:48:22.534Z,,,,,30.4,,50
2018-01-08T00:48:32.526Z,,,,38.6,30.6,,50
2018-01-08T00:48:42.526Z,,,,,30.6,,50
2018-01-08T00:48:52.526Z,,,,38.5,30.6,,50
2018-01-08T00:49:02.526Z,,,,38.4,30.6,,50
2018-01-08T00:49:12.526Z,,,,,30.6,,50
2018-01-08T00:49:22.526Z,,,,,30.6,,50
2018-01-08T00:49:32.526Z,,,,,30.6,,50
2018-01-08T00:49:42.526Z,,,,,30.6,,50
2018-01-08T00:49:52.526Z,,,,38.3,30.6,,50
2018-01-08T00:50:02.525Z,,,,,30.6,,50
2018-01-08T00:50:12.526Z,,,,,30.6,,50
2018-01-08T00:50:22.526Z,,,,,30.6,,50
2018-01-08T00:50:32.526Z,,,,,30.6,,50
2018-01-08T00:50:42.525Z,,,,,30.6,,50
2018-01-08T00:50:52.526Z,,,,,30.6,,50
2018-01-08T00:51:02.526Z,,,,,30.6,,50
2018-01-08T00:51:12.525Z,,,,,30.6,,50
2018-01-08T00:51:22.526Z,,,,,30.6,,50
2018-01-08T00:51:32.526Z,,,,,30.6,,50
2018-01-08T00:51:42.528Z,,,,,30.6,,50
2018-01-08T00:51:52.526Z,,,,38.4,30.7,,50
