Time,ActPow,PrimTSet,HwTSet,PrimT,HwTOutlet,HwActive,ChActive
2017-11-26T00:26:11.148Z,,,52,,30.9,,
2017-11-26T00:26:21.148Z,,,52,,30.9,,
2017-11-26T00:26:31.149Z,,,52,,30.8,,
2017-11-26T00:26:41.148Z,,,52,,30.9,,
2017-11-26T00:26:51.148Z,,,52,,30.8,,
2017-11-26T00:27:01.148Z,,,52,,30.9,,
2017-11-26T00:27:11.148Z,,,52,,30.8,,
2017-11-26T00:27:21.148Z,,,52,,30.8,,
2017-11-26T00:27:31.149Z,,,52,,30.8,,
2017-11-26T00:27:41.148Z,,,52,,30.8,,
2017-11-26T00:27:51.153Z,,,52,,30.8,,
2017-11-26T00:28:01.148Z,,,52,,30.8,,
2017-11-26T00:28:11.149Z,,,52,,30.8,,
2017-11-26T00:28:21.153Z,,,52,,30.8,,
2017-11-26T00:28:31.149Z,,,52,,30.8,,
2017-11-26T00:28:41.150Z,,,52,,30.8,,
2017-11-26T00:28:51.150Z,,,52,,30.8,,
2017-11-26T00:29:01.151Z,,,52,38.6,30.8,,
2017-11-26T00:29:11.151Z,,,52,,30.8,,
2017-11-26T00:29:21.151Z,,,52,,30.8,,
2017-11-26T00:29:31.151Z,,,52,,30.8,,
2017-11-26T00:29:41.149Z,,,52,,30.8,,
2017-11-26T00:29:51.148Z,,,52,,30.8,,
2017-11-26T00:30:01.154Z,,,52,,30.8,,
2017-11-26T00:30:11.148Z,,,52,,30.8,,
2017-11-26T00:30:21.152Z,,,52,,30.8,,
2017-11-26T00:30:31.149Z,,,52,,30.8,,
2017-11-26T00:30:41.148Z,,,52,38.5,30.8,,
2017-11-26T00:30:51.153Z,,,52,,30.8,,
2017-11-26T00:31:01.149Z,,,52,,30.8,,
2017-11-26T00:31:11.153Z,,,52,,30.8,,
2017-11-26T00:31:21.148Z,,,52,,30.8,,
2017-11-26T00:31:31.152Z,,,52,,30.7,,
2017-11-26T00:31:41.148Z,,,52,,30.8,,
2017-11-26T00:31:51.148Z,,,52,38.4,30.7,,
2017-11-26T00:32:01.149Z,,,52,,30.8,,
2017-11-26T00:32:11.148Z,,,52,,30.7,,
2017-11-26T00:32:21.153Z,,,52,,30.7,,
2017-11-26T00:32:31.148Z,,,52,,30.7,,
2017-11-26T00:32:41.148Z,,,52,,30.7,,
2017-11-26T00:32:51.148Z,,,52,,30.7,,
2017-11-26T00:33:01.148Z,,,52,,30.7,,
2017-11-26T00:33:11.148Z,,,52,38.3,30.7,,
2017-11-26T00:33:21.148Z,,,52,,30.7,,
2017-11-26T00:33:31.148Z,,,52,,30.7,,
2017-11-26T00:33:41.148Z,,,52,,30.7,,
2017-11-26T00:33:51.148Z,,,52,,30.7,,
2017-11-26T00:34:01.153Z,,,52,,30.7,,
2017-11-26T00:34:11.148Z,,,52,,30.7,,
2017-11-26T00:34:21.149Z,,,52,38.2,30.7,,
2017-11-26T00:34:31.148Z,,,52,,30.7,,
2017-11-26T00:34:41.156Z,,,52,,30.7,,
2017-11-26T00:34:51.148Z,,,52,,30.7,,
2017-11-26T00:35:01.148Z,,,52,,30.6,,
2017-11-26T00:35:11.148Z,,,52,,30.6,,
2017-11-26T00:35:21.148Z,,,52,,30.6,,
2017-11-26T00:35:31.148Z,,,52,,30.6,,
2017-11-26T00:35:41.148Z,,,52,38.1,30.6,,
2017-11-26T00:35:51.148Z,,,52,,30.6,,
2017-11-26T00:36:01.148Z,,,52,,30.6,,
2017-11-26T00:36:11.153Z,,,52,,30.6,,
2017-11-26T00:36:21.149Z,,,52,,30.6,,
2017-11-26T00:36:31.148Z,,,52,,30.6,,
2017-11-26T00:36:41.148Z,,,52,,30.6,,
2017-11-26T00:36:51.161Z,,,52,,30.6,,
2017-11-26T00:37:01.148Z,,,52,38,30.6,,
2017-11-26T00:37:11.148Z,,,52,,30.6,,
2017-11-26T00:37:21.148Z,,,52,,30.6,,
2017-11-26T00:37:31.148Z,,,52,,30.6,,
2017-11-26T00:37:41.148Z,,,52,,30.4,,
2017-11-26T00:37:51.152Z,,,52,,30.6,,
2017-11-26T00:38:01.148Z,,,52,,30.4,,
2017-11-26T00:38:11.206Z,,,52,,30.4,0,2
2017-11-26T00:38:21.159Z,35,,52,43.6,30.4,,
2017-11-26T00:38:31.185Z,29,,52,42.2,30.4,,
2017-11-26T00:38:41.148Z,,,52,40,30.4,,
2017-11-26T00:38:51.148Z,29,,52,37.3,30.4,,
2017-11-26T00:39:01.164Z,29,,,36.4,,,
2017-11-26T00:39:11.148Z,,,52,36.3,30.4,,
2017-11-26T00:39:21.148Z,,,52,36.6,30.4,,
2017-11-26T00:39:31.152Z,29,,52,37.2,30.4,,
2017-11-26T00:39:41.148Z,,,52,37.5,30.4,,
2017-11-26T00:39:51.151Z,,,52,37.7,30.4,,
2017-11-26T00:40:01.148Z,30,,,37.8,,,
2017-11-26T00:40:11.148Z,,,52,37.9,30.4,,
2017-11-26T00:40:21.148Z,29,,52,38.1,30.4,,
2017-11-26T00:40:31.148Z,,,52,38.3,30.4,,
2017-11-26T00:40:41.148Z,,,52,38.5,30.4,,
2017-11-26T00:40:51.148Z,,,52,38.7,30.4,,
2017-11-26T00:41:01.148Z,,,52,38.9,30.4,,
