Time,HwTSet,ActPow,HwActive,HwTOutlet,ChActive,PrimTSet,PrimT
2017-12-14T00:47:20.345Z,50,,,31.4,,,
2017-12-14T00:47:30.345Z,50,,,31.4,,,
2017-12-14T00:47:40.425Z,50,,,31.4,,,33.5
2017-12-14T00:47:50.345Z,50,39,0,31.4,2,,37.3
2017-12-14T00:48:00.345Z,50,32,,31.4,,,40.2
2017-12-14T00:48:10.345Z,50,30,,31.4,,,38.9
2017-12-14T00:48:20.345Z,50,29,,31.4,,,37.9
2017-12-14T00:48:30.345Z,50,30,,31.4,,,37.7
2017-12-14T00:48:40.425Z,50,,,31.4,,,37.2
2017-12-14T00:48:50.345Z,50,29,,31.3,,,37.1
2017-12-14T00:49:00.345Z,50,30,,31.3,,,37.2
2017-12-14T00:49:10.345Z,50,29,,31.3,,,37.6
2017-12-14T00:49:20.345Z,50,,,31.3,,,38
2017-12-14T00:49:30.345Z,50,,,31.3,,,38.1
2017-12-14T00:49:40.425Z,50,,,31.3,,,38.3
2017-12-14T00:49:50.345Z,50,,,31.3,,,38.5
2017-12-14T00:50:00.345Z,50,,,31.3,,,38.6
2017-12-14T00:50:10.345Z,50,,,31.3,,,38.8
2017-12-14T00:50:20.345Z,50,,,31.3,,,39.1
2017-12-14T00:50:30.345Z,50,,,31.3,,,39.2
2017-12-14T00:50:40.425Z,50,,,31.3,,,39.3
2017-12-14T00:50:50.345Z,50,,,31.3,,,39.5
2017-12-14T00:51:00.346Z,50,,,31.3,,,39.6
2017-12-14T00:51:10.346Z,50,30,,31.3,,,39.7
2017-12-14T00:51:20.345Z,50,29,,31.3,,,39.8
2017-12-14T00:51:30.345Z,50,30,,31.3,,,40
2017-12-14T00:51:40.425Z,50,29,,31.3,,,
2017-12-14T00:51:50.345Z,50,30,,31.3,,,40.2
2017-12-14T00:52:00.345Z,50,,,31.3,,,40.3
2017-12-14T00:52:10.346Z,50,29,,31.3,,,40.4
2017-12-14T00:52:20.345Z,50,,,31.3,,,40.6
2017-12-14T00:52:30.345Z,50,,,31.3,,,40.8
2017-12-14T00:52:40.435Z,50,30,,31.3,,,41
2017-12-14T00:52:50.345Z,50,29,,31.3,,,41.1
2017-12-14T00:53:00.353Z,50,,,31.3,,,41.2
2017-12-14T00:53:10.345Z,50,,,31.3,,,41.4
2017-12-14T00:53:20.345Z,50,,,31.3,,,41.5
2017-12-14T00:53:30.397Z,50,,,31.3,,,41.6
2017-12-14T00:53:40.425Z,50,30,,31.3,,,41.8
2017-12-14T00:53:50.388Z,50,,,31.3,,,42
2017-12-14T00:54:00.370Z,50,29,,31.3,,,42.1
2017-12-14T00:54:10.345Z,50,,,31.3,,,42.2
2017-12-14T00:54:20.344Z,50,,,31.3,,,42.3
2017-12-14T00:54:30.345Z,50,,,31.3,,,42.6
2017-12-14T00:54:40.425Z,50,,,31.3,,,42.8
2017-12-14T00:54:50.345Z,50,29,,31.3,,,43
2017-12-14T00:55:00.344Z,50,,,31.3,,,
2017-12-14T00:55:10.345Z,50,30,,31.3,,,43.2
2017-12-14T00:55:20.344Z,50,,,31.3,,,43.3
2017-12-14T00:55:30.345Z,50,29,,31.3,,,43.4
2017-12-14T00:55:40.425Z,50,,,31.4,,,43.5
2017-12-14T00:55:50.345Z,50,,,31.3,,,43.7
2017-12-14T00:56:00.345Z,50,30,,31.4,,,43.8
2017-12-14T00:56:10.345Z,50,30,,31.4,,,44
2017-12-14T00:56:20.346Z,50,29,,31.4,,,44.1
2017-12-14T00:56:30.345Z,50,,,31.4,,,44.2
2017-12-14T00:56:40.424Z,50,,0,31.4,2,,44.3
2017-12-14T00:56:50.346Z,50,,,31.4,,,44.5
2017-12-14T00:57:00.349Z,50,30,,31.4,,,44.6
2017-12-14T00:57:10.345Z,50,29,,31.4,,,44.7
2017-12-14T00:57:20.344Z,50,30,,31.4,,,44.8
2017-12-14T00:57:30.345Z,50,29,,31.4,,,45
2017-12-14T00:57:40.424Z,50,,,31.5,,,45.1
2017-12-14T00:57:50.345Z,50,,,31.5,,,45.2
2017-12-14T00:58:00.345Z,50,30,,31.5,,,45.3
2017-12-14T00:58:10.345Z,50,29,,31.5,,,45.4
2017-12-14T00:58:20.345Z,50,,,31.5,,,45.6
2017-12-14T00:58:30.346Z,50,,,31.5,,,45.7
2017-12-14T00:58:40.425Z,50,,,31.5,,,45.8
2017-12-14T00:58:50.345Z,50,,,31.6,,,46
2017-12-14T00:59:00.344Z,50,,,31.6,,,
2017-12-14T00:59:10.344Z,50,,,31.6,,,46.2
2017-12-14T00:59:20.345Z,50,,,31.6,,,46.3
