Time,HwActive,ActPow,HwTSet,PrimTSet,HwTOutlet,PrimT,ChActive
2018-02-04T00:27:18.798Z,,,50,,32.1,43,
2018-02-04T00:27:28.802Z,,,,,,43.1,
2018-02-04T00:27:38.798Z,0,0,50,,32.1,42.7,2
2018-02-04T00:27:48.798Z,,,50,,32.1,40.7,
2018-02-04T00:27:58.798Z,,,50,,32,39.4,
2018-02-04T00:28:08.797Z,,,50,,32,38.6,
2018-02-04T00:28:18.797Z,,,,,,38.3,
2018-02-04T00:28:28.798Z,,,50,,32,,
2018-02-04T00:28:38.797Z,,,50,,32,,
2018-02-04T00:28:48.797Z,,,,,,38.2,
2018-02-04T00:28:58.798Z,,,50,,32,,
2018-02-04T00:29:08.797Z,,,50,,32,,
2018-02-04T00:29:18.798Z,,,50,,32,38,
2018-02-04T00:29:28.797Z,,,,,,37.9,
2018-02-04T00:29:38.797Z,,,50,,31.9,37.8,
2018-02-04T00:29:48.797Z,,,50,,31.9,,
2018-02-04T00:29:58.797Z,,,50,,31.9,,
2018-02-04T00:30:08.797Z,,,,,,37.7,
2018-02-04T00:30:18.797Z,,,50,,31.9,,
2018-02-04T00:30:28.798Z,,,50,,31.9,,
2018-02-04T00:30:38.797Z,,,50,,31.9,37.6,
2018-02-04T00:30:58.798Z,,,50,,31.9,37.5,
2018-02-04T00:31:08.797Z,,,50,,31.9,,
2018-02-04T00:31:28.797Z,,,50,,31.8,,
2018-02-04T00:31:38.797Z,,,50,,31.8,,
2018-02-04T00:31:58.798Z,,,50,,31.8,,
2018-02-04T00:32:08.798Z,,,50,,31.8,,
2018-02-04T00:32:28.797Z,,,50,,31.8,,
2018-02-04T00:32:38.798Z,,,50,,31.8,,
2018-02-04T00:32:58.797Z,,,50,,31.8,,
2018-02-04T00:33:08.797Z,,,50,,31.6,,
2018-02-04T00:33:28.798Z,,,50,,31.6,,
2018-02-04T00:33:38.797Z,,,50,,31.6,,
2018-02-04T00:33:48.797Z,,,,,,37.6,
2018-02-04T00:33:58.797Z,,,50,,31.6,,
2018-02-04T00:34:08.797Z,,,50,,31.6,,
2018-02-04T00:34:28.797Z,,,50,,31.5,37.7,
2018-02-04T00:34:38.797Z,,,50,,31.5,,
2018-02-04T00:34:58.797Z,,,50,,31.5,,
2018-02-04T00:35:08.797Z,,,50,,31.5,,
2018-02-04T00:35:18.797Z,,,,,,37.8,
2018-02-04T00:35:28.797Z,,,50,,31.5,,
2018-02-04T00:35:38.797Z,,,50,,31.5,,
2018-02-04T00:35:58.798Z,,,50,,31.5,37.9,
2018-02-04T00:36:08.797Z,,,50,,31.4,,
2018-02-04T00:36:28.797Z,,,50,,31.4,,
2018-02-04T00:36:38.860Z,,,50,,31.4,,
2018-02-04T00:36:58.845Z,,,50,,31.4,,
2018-02-04T00:37:08.799Z,0,,,5,,,0
2018-02-04T00:37:18.825Z,,,50,,31.4,,
2018-02-04T00:37:28.797Z,0,,,59,,,2
2018-02-04T00:37:38.797Z,,,50,,31.4,,
2018-02-04T00:37:48.797Z,,,50,,31.4,,
2018-02-04T00:37:58.798Z,,,50,,31.4,,
2018-02-04T00:38:08.797Z,,,50,,31.3,,
2018-02-04T00:38:18.797Z,1,,50,0,35.8,37.5,0
2018-02-04T00:38:28.797Z,0,0,50,,37.7,39.3,0
2018-02-04T00:38:38.798Z,,,50,,38.4,38.8,
2018-02-04T00:38:48.797Z,,,,,,38.6,
2018-02-04T00:38:58.798Z,,,50,,38.3,,
2018-02-04T00:39:18.797Z,,,50,,38.1,,
2018-02-04T00:39:28.797Z,,,50,,38,38.5,
2018-02-04T00:39:38.797Z,0,,,59,,,2
2018-02-04T00:39:48.797Z,,,50,,37.9,,
2018-02-04T00:39:58.797Z,,,50,,37.8,,
2018-02-04T00:40:08.797Z,,,50,,37.7,,
2018-02-04T00:40:28.797Z,,,50,,37.6,,
2018-02-04T00:40:38.797Z,,,50,,37.5,,
2018-02-04T00:40:48.797Z,,,,,,38.4,
2018-02-04T00:40:58.798Z,,,50,,37.4,,
2018-02-04T00:41:08.797Z,,,50,,37.3,,
2018-02-04T00:41:28.797Z,,,50,,37.1,,
2018-02-04T00:41:38.797Z,,,50,,37.1,,
2018-02-04T00:41:58.797Z,,,50,,36.8,,
2018-02-04T00:42:08.797Z,,,50,,36.8,,
2018-02-04T00:42:18.797Z,,,,,,38.3,
2018-02-04T00:42:28.797Z,,,50,,36.6,,
2018-02-04T00:42:38.797Z,0,,50,5,36.6,,0
2018-02-04T00:42:48.797Z,0,,50,59,36.5,,2
2018-02-04T00:42:58.797Z,0,,50,5,36.4,,0
2018-02-04T00:43:08.797Z,0,,,59,,,2
2018-02-04T00:43:18.797Z,,,50,,36.3,,
2018-02-04T00:43:28.797Z,,,50,,36.3,,
2018-02-04T00:43:48.803Z,,,50,,36.1,,
2018-02-04T00:43:58.797Z,,,50,,36.1,,
2018-02-04T00:44:08.797Z,,,50,,36,,
2018-02-04T00:44:18.797Z,0,,50,5,35.9,38.2,0
2018-02-04T00:44:28.797Z,0,0,,59,,38.2,2
2018-02-04T00:44:38.797Z,,,50,,35.8,,
2018-02-04T00:44:48.797Z,,,50,,35.8,,
2018-02-04T00:44:58.797Z,,,50,,35.7,,
2018-02-04T00:45:18.797Z,,,50,,35.6,,
2018-02-04T00:45:28.797Z,,,50,,35.5,,
2018-02-04T00:45:48.797Z,,,50,,35.4,,
2018-02-04T00:45:58.797Z,,,50,,35.4,,
2018-02-04T00:46:08.962Z,,,50,,35.3,,
2018-02-04T00:46:18.797Z,,,,,,38.1,
2018-02-04T00:46:28.797Z,,,50,,35.2,,
2018-02-04T00:46:38.797Z,,,50,,35.2,,
2018-02-04T00:46:58.797Z,,,50,,35.1,,
2018-02-04T00:47:08.797Z,,,50,,34.9,,
2018-02-04T00:47:28.797Z,,,50,,34.8,38,
2018-02-04T00:47:38.797Z,,,50,,34.8,,
2018-02-04T00:47:58.798Z,,,50,,34.7,,
2018-02-04T00:48:08.797Z,,,50,,34.6,,
2018-02-04T00:48:28.797Z,,,50,,34.5,38,
2018-02-04T00:48:38.797Z,,,,,,37.9,
2018-02-04T00:48:48.797Z,,,50,,34.4,,
2018-02-04T00:48:58.797Z,,,50,,34.4,,
2018-02-04T00:49:08.798Z,,,50,,34.4,,
2018-02-04T00:49:28.797Z,,,50,,34.3,,
2018-02-04T00:49:38.797Z,,,50,,34.2,,
2018-02-04T00:49:48.797Z,,,,,,37.8,
2018-02-04T00:49:58.797Z,,,50,,34.2,,
2018-02-04T00:50:08.797Z,,,50,,34.1,,
2018-02-04T00:50:28.797Z,,,50,,34,,
2018-02-04T00:50:38.797Z,,,50,,34,,
2018-02-04T00:50:48.797Z,,,,,,37.7,
2018-02-04T00:50:58.797Z,,,50,,33.9,,
