Time,HwTSet,PrimTSet,HwActive,ChActive,PrimT,ActPow,HwTOutlet
2017-11-20T00:30:43.351Z,52,,,,,,29.6
2017-11-20T00:31:03.440Z,52,,,,,,29.6
2017-11-20T00:31:13.350Z,52,,,,,,29.6
2017-11-20T00:31:23.346Z,52,,,,,,29.6
2017-11-20T00:31:33.347Z,52,,,,,,29.5
2017-11-20T00:31:43.352Z,52,,,,,,29.5
2017-11-20T00:32:03.431Z,52,,,,,,29.5
2017-11-20T00:32:13.349Z,52,,,,,,29.5
2017-11-20T00:32:23.346Z,52,,,,,,29.5
2017-11-20T00:32:43.352Z,52,,,,,,29.5
2017-11-20T00:33:03.426Z,52,,,,,,29.5
2017-11-20T00:33:13.347Z,52,,,,34.1,,29.3
2017-11-20T00:33:23.346Z,52,,,,,,29.3
2017-11-20T00:33:33.350Z,52,,,,,,29.3
2017-11-20T00:33:43.347Z,52,,,,,,29.3
2017-11-20T00:34:03.426Z,52,,,,,,29.3
2017-11-20T00:34:13.346Z,52,,,,,,29.2
2017-11-20T00:34:23.346Z,52,,,,,,29.2
2017-11-20T00:34:43.347Z,52,,,,,,29.2
2017-11-20T00:35:03.429Z,52,,,,,,29.2
2017-11-20T00:35:13.346Z,52,,,,,,29.2
2017-11-20T00:35:23.347Z,52,,,,,,29.2
2017-11-20T00:35:33.346Z,,,,,34,,
2017-11-20T00:35:43.347Z,52,,,,,,29.1
2017-11-20T00:36:03.426Z,52,,,,,,29.1
2017-11-20T00:36:13.346Z,52,,,,,,29.1
2017-11-20T00:36:23.350Z,52,,,,,,29.1
2017-11-20T00:36:53.346Z,,,,,34,,
2017-11-20T00:37:03.437Z,,,,,33.9,,
2017-11-20T00:37:13.347Z,52,,,,,,29
2017-11-20T00:37:33.346Z,52,,,,,,29
2017-11-20T00:37:43.349Z,52,,,,,,29
2017-11-20T00:38:03.426Z,52,,,,,,29
2017-11-20T00:38:13.347Z,52,,,,33.8,,29
2017-11-20T00:38:23.350Z,52,,,,,,28.9
2017-11-20T00:38:33.346Z,52,,,,,,28.9
2017-11-20T00:38:43.346Z,52,,,,,,28.9
2017-11-20T00:39:03.427Z,52,,,,,,28.9
2017-11-20T00:39:13.347Z,52,,,,,,28.9
2017-11-20T00:39:23.346Z,52,,,,,,28.9
2017-11-20T00:39:33.346Z,52,58,0,2,33.7,0,28.9
2017-11-20T00:39:53.346Z,52,5,0,0,,,28.7
2017-11-20T00:40:03.426Z,52,,,,,,28.7
2017-11-20T00:40:13.347Z,52,58,0,2,,,28.7
2017-11-20T00:40:23.346Z,52,,,,,,28.7
2017-11-20T00:40:33.348Z,,5,0,0,,,
2017-11-20T00:40:53.410Z,52,,,,,,28.7
2017-11-20T00:41:03.426Z,52,,,,33.6,,28.7
2017-11-20T00:41:13.346Z,52,,,,,,28.7
2017-11-20T00:41:23.346Z,,58,0,2,,,
2017-11-20T00:41:33.346Z,52,,,,,,28.7
2017-11-20T00:41:43.347Z,52,,,,,,28.6
2017-11-20T00:42:03.436Z,52,,,,,,28.6
2017-11-20T00:42:13.346Z,52,,,,33.5,,28.6
2017-11-20T00:42:23.347Z,52,,,,,,28.6
2017-11-20T00:42:43.347Z,52,,,,,,28.6
2017-11-20T00:43:03.426Z,52,,,,,,28.6
2017-11-20T00:43:13.347Z,52,,,,33.4,,28.6
2017-11-20T00:43:23.347Z,52,,,,,,28.5
2017-11-20T00:43:33.346Z,52,,,,,,28.5
2017-11-20T00:43:43.346Z,52,,,,,,28.5
2017-11-20T00:43:53.346Z,52,,,,,,28.5
2017-11-20T00:44:03.426Z,52,0,1,0,33.3,,28.5
2017-11-20T00:44:13.347Z,52,,,,36.2,35,34
2017-11-20T00:44:23.346Z,,,0,0,36.9,0,
2017-11-20T00:44:33.346Z,52,,0,0,36.5,,36.1
2017-11-20T00:44:53.346Z,52,,,,,,36.2
2017-11-20T00:45:03.426Z,52,,,,36.4,,36.1
2017-11-20T00:45:13.348Z,52,58,0,2,36.3,,35.9
2017-11-20T00:45:23.346Z,52,,0,2,36.6,45,35.8
2017-11-20T00:45:33.346Z,52,,,,39.5,41,35.8
2017-11-20T00:45:43.346Z,52,,,,41.7,34,35.7
2017-11-20T00:45:53.348Z,,,,,37.5,29,
2017-11-20T00:46:03.426Z,52,,,,35.9,29,35.6
2017-11-20T00:46:13.346Z,52,,,,32.8,,35.5
2017-11-20T00:46:23.346Z,52,,,,31.9,30,35.5
2017-11-20T00:46:33.346Z,52,,,,31.7,29,35.4
2017-11-20T00:46:43.346Z,52,,,,,30,35.3
2017-11-20T00:46:53.346Z,,,,,32,29,
2017-11-20T00:47:03.426Z,52,,,,,,35.3
2017-11-20T00:47:13.346Z,52,,,,32.9,,35.1
2017-11-20T00:47:23.346Z,,,,,33.1,,
2017-11-20T00:47:33.346Z,52,,,,33.2,,34.9
2017-11-20T00:47:43.348Z,52,,,,33.4,,34.8
2017-11-20T00:47:53.349Z,52,0,1,0,34,30,34.7
2017-11-20T00:48:03.426Z,52,,0,0,34.5,0,35.8
2017-11-20T00:48:13.351Z,52,,,,36.2,,33.7
2017-11-20T00:48:23.346Z,,,,,34.7,,
