Time,HwTOutlet,ChActive,PrimTSet,HwTSet,PrimT,ActPow,HwActive
2018-01-06T00:42:12.585Z,30.8,,,50,38.6,,
2018-01-06T00:42:22.584Z,30.8,,,50,,,
2018-01-06T00:42:32.584Z,30.8,,,50,,,
2018-01-06T00:42:42.585Z,30.8,,,50,38.7,,
2018-01-06T00:42:52.584Z,30.8,,,50,,,
2018-01-06T00:43:02.585Z,30.8,,,50,,,
2018-01-06T00:43:12.585Z,30.8,,,50,,,
2018-01-06T00:43:22.584Z,30.8,,,50,38.8,,
2018-01-06T00:43:32.585Z,30.8,,,50,,,
2018-01-06T00:43:42.585Z,30.8,1,59,50,38.8,0,0
2018-01-06T00:43:52.585Z,30.8,,,50,,,
2018-01-06T00:44:02.586Z,30.8,,,50,,,
2018-01-06T00:44:12.585Z,30.8,,,50,,,
2018-01-06T00:44:22.585Z,30.8,,,50,38.9,,
2018-01-06T00:44:32.584Z,30.8,,,50,,,
2018-01-06T00:44:42.585Z,30.8,,,50,,,
2018-01-06T00:44:52.585Z,30.8,,,50,,,
2018-01-06T00:45:02.585Z,30.8,,,50,,,
2018-01-06T00:45:12.585Z,30.8,,,50,,,
2018-01-06T00:45:22.584Z,30.8,,,50,,,
2018-01-06T00:45:32.585Z,30.8,,,50,,,
2018-01-06T00:45:42.585Z,30.8,,,50,,,
2018-01-06T00:45:52.584Z,30.8,,,50,,,
2018-01-06T00:46:02.584Z,30.8,,,50,,,
2018-01-06T00:46:12.584Z,30.8,,,50,,,
2018-01-06T00:46:22.585Z,30.8,,,50,,,
2018-01-06T00:46:32.585Z,30.8,,,50,,,
2018-01-06T00:46:42.585Z,30.8,,,50,,,
2018-01-06T00:46:52.585Z,30.7,,,50,,,
2018-01-06T00:47:02.585Z,30.7,,,50,,,
2018-01-06T00:47:12.585Z,30.7,,,50,,,
2018-01-06T00:47:22.586Z,30.7,,,50,,,
2018-01-06T00:47:32.585Z,30.7,,,50,,,
2018-01-06T00:47:42.585Z,30.7,,,50,,,
2018-01-06T00:47:52.586Z,30.7,,,50,38.8,,
2018-01-06T00:48:02.586Z,30.7,,,50,,,
2018-01-06T00:48:12.586Z,30.7,,,50,,,
2018-01-06T00:48:22.586Z,30.7,,,50,,,
2018-01-06T00:48:32.586Z,30.7,,,50,,,
2018-01-06T00:48:42.586Z,30.7,,,50,,,
2018-01-06T00:48:52.584Z,30.7,,,50,,,
2018-01-06T00:49:02.584Z,30.7,,,50,,,
2018-01-06T00:49:12.584Z,30.7,,,50,38.7,,
2018-01-06T00:49:22.649Z,30.7,,,50,,,
2018-01-06T00:49:32.585Z,30.7,,,50,,,
2018-01-06T00:49:42.587Z,30.7,,,50,,,
2018-01-06T00:49:52.584Z,30.7,,,50,,,
2018-01-06T00:50:02.610Z,30.7,,,50,,,
2018-01-06T00:50:12.597Z,30.7,,,50,,,
2018-01-06T00:50:22.585Z,30.7,,,50,38.6,,
2018-01-06T00:50:32.585Z,30.7,,,50,,,
2018-01-06T00:50:42.584Z,30.7,,,50,,,
2018-01-06T00:50:52.585Z,30.7,,,50,,,
2018-01-06T00:51:02.585Z,30.7,,,50,,,
2018-01-06T00:51:12.585Z,30.7,,,50,,,
2018-01-06T00:51:22.584Z,30.7,,,50,,,
2018-01-06T00:51:32.596Z,30.6,,,50,,,
2018-01-06T00:51:42.589Z,30.7,,,50,38.5,,
2018-01-06T00:51:52.584Z,30.6,,,50,,,
2018-01-06T00:52:02.585Z,30.6,,,50,,,
2018-01-06T00:52:12.585Z,30.6,,,50,,,
2018-01-06T00:52:22.584Z,30.6,,,50,,,
2018-01-06T00:52:32.589Z,30.6,,,50,,,
2018-01-06T00:52:42.585Z,30.6,,,50,,,
2018-01-06T00:52:52.585Z,30.6,,,50,38.4,,
2018-01-06T00:53:02.584Z,30.6,,,50,,,
2018-01-06T00:53:12.585Z,30.6,,,50,,,
2018-01-06T00:53:22.585Z,30.6,,,50,,,
2018-01-06T00:53:32.584Z,30.6,,,50,,,
2018-01-06T00:53:42.585Z,30.6,,,50,,,
