Time,HwTSet,ChActive,PrimT,PrimTSet,HwActive,ActPow,HwTOutlet
2018-02-14T01:12:48.588Z,50,,38.3,,,,30.6
2018-02-14T01:12:58.634Z,,,37.4,,,,
2018-02-14T01:13:08.832Z,50,,37.2,,,,30.6
2018-02-14T01:13:18.588Z,50,,37.7,,,,30.6
2018-02-14T01:13:28.632Z,50,,38.1,,,29,30.6
2018-02-14T01:13:38.538Z,,,38.5,,,30,
2018-02-14T01:13:48.590Z,50,,38.7,,,29,30.6
2018-02-14T01:13:58.634Z,50,,,,,,30.6
2018-02-14T01:14:08.769Z,50,,38.9,,,,30.4
2018-02-14T01:14:18.587Z,,,39.1,,,29,
2018-02-14T01:14:28.632Z,50,,39.4,,,,30.4
2018-02-14T01:14:38.538Z,50,,,,,,30.4
2018-02-14T01:14:48.587Z,,,39.7,,,29,
2018-02-14T01:14:58.634Z,50,,39.9,,,,30.4
2018-02-14T01:15:08.837Z,,,40.1,,,29,
2018-02-14T01:15:18.587Z,50,,40.2,,,,30.4
2018-02-14T01:15:28.786Z,50,,40.4,,,,30.4
2018-02-14T01:15:38.536Z,50,,,,,,30.4
2018-02-14T01:15:48.589Z,,,40.7,,,30,
2018-02-14T01:15:58.653Z,50,,40.8,,,29,30.4
2018-02-14T01:16:08.685Z,,,41,,,,
2018-02-14T01:16:18.585Z,50,,41.1,,,,30.4
2018-02-14T01:16:28.638Z,50,,41.3,,,,30.4
2018-02-14T01:16:38.536Z,50,,,,,,30.4
2018-02-14T01:16:48.585Z,,,41.5,,,,
2018-02-14T01:16:58.636Z,50,,41.7,,,,30.6
2018-02-14T01:17:08.837Z,50,,,,,,30.6
2018-02-14T01:17:18.587Z,50,,41.9,,,,30.6
2018-02-14T01:17:28.632Z,50,,42.1,,,30,30.4
2018-02-14T01:17:38.553Z,,,42.2,,,29,
2018-02-14T01:17:48.589Z,50,,42.4,,,30,30.6
2018-02-14T01:17:58.646Z,50,,,,,,30.6
2018-02-14T01:18:08.836Z,,,42.7,,,29,
2018-02-14T01:18:18.518Z,50,,42.9,,,,30.6
2018-02-14T01:18:28.622Z,50,,43,,,30,30.6
2018-02-14T01:18:38.615Z,,,43.1,,,29,
2018-02-14T01:18:48.526Z,50,,43.3,,,,30.6
2018-02-14T01:18:58.573Z,50,,,,,,30.6
2018-02-14T01:19:08.919Z,,,43.6,,,,
2018-02-14T01:19:18.520Z,50,,43.7,,,30,30.6
2018-02-14T01:19:28.574Z,50,,43.9,,,29,30.6
2018-02-14T01:19:38.620Z,,,44,,,,
2018-02-14T01:19:48.520Z,50,,44.1,,,,30.6
2018-02-14T01:19:58.573Z,50,,,,,,30.6
2018-02-14T01:20:08.921Z,,,44.4,,,,
2018-02-14T01:20:18.521Z,50,,44.5,,,,30.7
2018-02-14T01:20:28.569Z,50,,44.7,,,,30.7
2018-02-14T01:20:38.616Z,50,,,,,,30.7
2018-02-14T01:20:48.523Z,50,,44.9,,,29,30.7
2018-02-14T01:20:58.568Z,,,45,,,29,
2018-02-14T01:21:08.921Z,50,1,45.2,,0,0,30.7
2018-02-14T01:21:18.522Z,50,,42.9,,,,30.7
2018-02-14T01:21:28.571Z,50,,41.6,,,,30.8
2018-02-14T01:21:38.619Z,50,,40.7,,,,30.8
2018-02-14T01:21:48.518Z,,,40.3,,,,
2018-02-14T01:21:58.568Z,50,,40.2,,,,30.8
2018-02-14T01:22:08.921Z,50,,,,,,30.8
2018-02-14T01:22:28.570Z,50,,,,,,30.8
2018-02-14T01:22:38.552Z,50,,,,,,30.8
2018-02-14T01:22:48.522Z,50,,40,,,,30.8
2018-02-14T01:22:58.570Z,,,39.8,,,,
2018-02-14T01:23:08.919Z,50,,39.7,,,,30.8
2018-02-14T01:23:18.522Z,50,,,,,,30.8
2018-02-14T01:23:28.569Z,50,,,,,,30.9
2018-02-14T01:23:38.621Z,,,39.6,,,,
2018-02-14T01:23:48.523Z,50,,,,,,30.9
2018-02-14T01:23:58.572Z,50,,,,,,30.9
2018-02-14T01:24:08.920Z,50,,39.4,,,,30.9
2018-02-14T01:24:28.571Z,50,,,,,,30.9
2018-02-14T01:24:38.620Z,50,,,,,,30.9
2018-02-14T01:24:48.522Z,,,39.3,,,,
2018-02-14T01:24:58.569Z,50,,,,,,30.9
2018-02-14T01:25:08.922Z,50,,,,,,30.9
2018-02-14T01:25:28.574Z,50,,,,,,31
2018-02-14T01:25:38.622Z,50,,,,,,31
2018-02-14T01:25:58.575Z,50,,,,,,31
2018-02-14T01:26:08.772Z,50,,,,,,31
2018-02-14T01:26:28.572Z,50,,,,,,31
2018-02-14T01:26:38.621Z,50,,,,,,31
2018-02-14T01:26:58.571Z,50,,,,,,31
2018-02-14T01:27:08.923Z,50,,,,,,31
2018-02-14T01:27:18.521Z,,,39.4,,,,
2018-02-14T01:27:28.574Z,50,,,,,,31
2018-02-14T01:27:38.622Z,50,,,,,,31
2018-02-14T01:27:58.569Z,50,,39.5,,,,31
2018-02-14T01:28:08.772Z,50,,,,,,31
2018-02-14T01:28:28.575Z,50,,,,,,31
2018-02-14T01:28:38.624Z,50,,,,,,31
2018-02-14T01:28:48.522Z,,,39.6,,,,
2018-02-14T01:28:58.572Z,50,,,,,,31
2018-02-14T01:29:08.923Z,50,,,,,,31
2018-02-14T01:29:28.573Z,50,,,,,,31
2018-02-14T01:29:38.623Z,50,,,,,,31
2018-02-14T01:29:58.570Z,50,,,,,,31
2018-02-14T01:30:08.771Z,50,,,,,,31
2018-02-14T01:30:28.574Z,50,,,,,,31
2018-02-14T01:30:38.624Z,50,,,,,,31
2018-02-14T01:30:58.572Z,50,,,,,,31
2018-02-14T01:31:08.923Z,50,,,,,,31
2018-02-14T01:31:28.574Z,50,,,,,,31
2018-02-14T01:31:38.624Z,50,,,,,,31
2018-02-14T01:31:58.572Z,50,,,,,,31
2018-02-14T01:32:08.921Z,50,,,,,,31
2018-02-14T01:32:28.609Z,50,,,,,,31
2018-02-14T01:32:38.621Z,50,,,,,,31
2018-02-14T01:32:48.523Z,,,39.5,,,,
2018-02-14T01:32:58.570Z,50,,,,,,31
2018-02-14T01:33:08.771Z,50,,,,,,31
2018-02-14T01:33:28.517Z,50,,,,,,30.9
2018-02-14T01:33:38.516Z,50,,,,,,31
2018-02-14T01:33:48.517Z,,,39.4,,,,
2018-02-14T01:33:58.525Z,50,,,,,,31
2018-02-14T01:34:08.596Z,50,,,,,,30.9
2018-02-14T01:34:28.517Z,50,,,,,,30.9
2018-02-14T01:34:38.516Z,50,,,,,,30.9
2018-02-14T01:34:58.516Z,50,,39.3,,,,30.9
2018-02-14T01:35:08.597Z,50,1,43.1,,0,39,30.9
2018-02-14T01:35:18.516Z,50,,45.2,,,33,30.9
