Time,HwTSet,ActPow,PrimTSet,PrimT,ChActive,HwTOutlet,HwActive
2017-12-16T00:31:40.328Z,50,30,,37.8,,30.4,
2017-12-16T00:31:50.276Z,50,29,,36.5,,30.4,
2017-12-16T00:32:00.276Z,50,30,,35.9,,30.3,
2017-12-16T00:32:10.276Z,50,30,,36,,30.3,
2017-12-16T00:32:20.283Z,50,29,,36.4,,30.3,
2017-12-16T00:32:30.288Z,50,30,,36.8,,30.3,
2017-12-16T00:32:40.276Z,50,29,,37.2,,30.3,
2017-12-16T00:32:50.276Z,50,,,37.4,,30.3,
2017-12-16T00:33:00.275Z,50,,,37.5,,30.3,
2017-12-16T00:33:10.275Z,50,30,,37.7,,30.3,
2017-12-16T00:33:20.276Z,50,29,,37.9,,30.3,
2017-12-16T00:33:30.276Z,50,30,,38,,30.3,
2017-12-16T00:33:40.276Z,50,,,38.3,,30.3,
2017-12-16T00:33:50.275Z,50,29,,38.5,,30.3,
2017-12-16T00:34:00.276Z,50,,,38.7,,30.3,
2017-12-16T00:34:10.277Z,50,,,38.8,,30.3,
2017-12-16T00:34:20.313Z,50,30,,39.1,,30.3,
2017-12-16T00:34:30.276Z,50,,,39.2,,30.3,
2017-12-16T00:34:40.276Z,50,,,39.4,,30.2,
2017-12-16T00:34:50.276Z,50,29,,39.6,,30.3,
2017-12-16T00:35:00.276Z,50,30,,39.7,,30.3,
2017-12-16T00:35:10.276Z,50,29,,39.9,,30.3,
2017-12-16T00:35:20.276Z,50,30,,40,,30.2,
2017-12-16T00:35:30.276Z,50,29,,40.1,,30.2,
2017-12-16T00:35:40.275Z,50,30,,40.3,,30.2,
2017-12-16T00:35:50.275Z,50,29,,40.4,,30.2,
2017-12-16T00:36:00.275Z,50,,,40.6,,30.3,
2017-12-16T00:36:10.278Z,50,,,40.7,,30.2,
2017-12-16T00:36:20.276Z,50,30,,40.8,,30.2,
2017-12-16T00:36:30.276Z,50,29,,41,,30.2,
2017-12-16T00:36:40.276Z,50,30,,41.1,,30.3,
2017-12-16T00:36:50.276Z,50,29,,41.3,,30.3,
2017-12-16T00:37:00.276Z,50,30,,41.4,,30.3,
2017-12-16T00:37:10.276Z,50,29,,41.6,,30.3,
2017-12-16T00:37:20.276Z,50,30,,41.7,,30.2,
2017-12-16T00:37:30.275Z,50,29,,41.9,,30.3,
2017-12-16T00:37:40.277Z,50,,,42,,30.3,
2017-12-16T00:37:50.275Z,50,,,42.2,,30.3,
2017-12-16T00:38:00.276Z,50,30,,42.3,,30.3,
2017-12-16T00:38:10.276Z,50,,,42.6,,30.3,
2017-12-16T00:38:20.275Z,50,,,42.7,,30.3,
2017-12-16T00:38:30.276Z,50,29,,42.8,,30.3,
2017-12-16T00:38:40.276Z,50,,,43,,30.3,
2017-12-16T00:38:50.276Z,50,,,43.1,,30.3,
2017-12-16T00:39:00.275Z,50,,,43.3,,30.3,
2017-12-16T00:39:10.276Z,50,,,43.4,,30.3,
2017-12-16T00:39:20.275Z,50,,,43.5,,30.3,
2017-12-16T00:39:30.276Z,50,,,43.7,,30.3,
2017-12-16T00:39:40.276Z,50,,,43.8,,30.3,
2017-12-16T00:39:50.275Z,50,,,44,,30.3,
2017-12-16T00:40:00.276Z,50,30,,44.1,,30.4,
2017-12-16T00:40:10.363Z,50,,,44.2,,30.4,
2017-12-16T00:40:20.276Z,50,,,44.3,,30.4,
2017-12-16T00:40:30.275Z,50,29,,44.5,,30.4,
2017-12-16T00:40:40.276Z,50,,,44.6,,30.4,
2017-12-16T00:40:50.276Z,50,30,,44.7,,30.4,
2017-12-16T00:41:00.276Z,50,29,,44.8,,30.4,
2017-12-16T00:41:10.276Z,50,,,45,,30.4,
2017-12-16T00:41:20.276Z,50,0,,45.1,1,30.4,0
2017-12-16T00:41:30.275Z,50,,,42.4,,30.6,
2017-12-16T00:41:40.279Z,50,,,40.9,,30.6,
2017-12-16T00:41:50.276Z,50,,,40.4,,30.6,
2017-12-16T00:42:00.276Z,50,,,40.2,,30.6,
2017-12-16T00:42:10.276Z,50,,,,,30.6,
2017-12-16T00:42:20.276Z,50,,,40.1,,30.6,
2017-12-16T00:42:30.276Z,50,,,,,30.6,
2017-12-16T00:42:40.275Z,50,,,,,30.6,
2017-12-16T00:42:50.275Z,50,,,39.9,,30.7,
2017-12-16T00:43:00.277Z,50,,,39.8,,30.7,
2017-12-16T00:43:10.275Z,50,,,39.7,,30.7,
2017-12-16T00:43:20.275Z,50,,,39.6,,30.7,
2017-12-16T00:43:30.275Z,50,,,,,30.7,
2017-12-16T00:43:40.276Z,50,,,,,30.7,
2017-12-16T00:43:50.275Z,50,,,39.5,,30.7,
2017-12-16T00:44:00.275Z,50,,,,,30.7,
2017-12-16T00:44:10.275Z,50,,,39.4,,30.7,
2017-12-16T00:44:20.275Z,50,,,39.3,,30.7,
2017-12-16T00:44:30.275Z,50,,,,,30.7,
2017-12-16T00:44:40.275Z,50,,,,,30.7,
2017-12-16T00:44:50.276Z,50,,,,,30.7,
2017-12-16T00:45:00.275Z,50,,,39.2,,30.8,
2017-12-16T00:45:10.276Z,50,,,,,30.8,
2017-12-16T00:45:20.275Z,50,,,,,30.8,
2017-12-16T00:45:30.276Z,50,,,,,30.8,
2017-12-16T00:45:40.276Z,50,,,,,30.8,
2017-12-16T00:45:50.283Z,50,,,,,30.8,
2017-12-16T00:46:00.276Z,50,,,,,30.8,
2017-12-16T00:46:10.275Z,50,,,,,30.8,
2017-12-16T00:46:20.275Z,50,,,,,30.8,
2017-12-16T00:46:30.275Z,50,,,,,30.8,
2017-12-16T00:46:40.276Z,50,,,,,30.8,
2017-12-16T00:46:50.277Z,50,,,,,30.8,
2017-12-16T00:47:00.275Z,50,,,,,30.8,
2017-12-16T00:47:10.277Z,50,,,,,30.8,
2017-12-16T00:47:20.331Z,50,,,,,30.8,
2017-12-16T00:47:30.316Z,50,,,39.3,,30.8,
2017-12-16T00:47:40.276Z,50,,,,,30.8,
2017-12-16T00:47:50.275Z,50,,,,,30.8,
2017-12-16T00:48:00.275Z,50,,,,,30.8,
2017-12-16T00:48:10.279Z,50,,,39.4,,30.8,
2017-12-16T00:48:20.287Z,50,,,,,30.8,
2017-12-16T00:48:30.275Z,50,,,,,30.8,
2017-12-16T00:48:40.278Z,50,,,,,30.8,
2017-12-16T00:48:50.277Z,50,,,39.5,,30.8,
2017-12-16T00:49:00.275Z,50,,,,,30.8,
2017-12-16T00:49:10.275Z,50,,,,,30.9,
2017-12-16T00:49:20.276Z,50,,,,,30.8,
2017-12-16T00:49:30.278Z,50,,,,,30.8,
2017-12-16T00:49:40.278Z,50,,,,,30.9,
2017-12-16T00:49:50.278Z,50,,,,,30.9,
2017-12-16T00:50:00.281Z,50,,,,,30.9,
2017-12-16T00:50:10.277Z,50,,,,,30.8,
2017-12-16T00:50:20.278Z,50,,,,,30.8,
2017-12-16T00:50:30.278Z,50,,,,,30.8,
2017-12-16T00:50:40.278Z,50,,,,,30.8,
2017-12-16T00:50:50.279Z,50,,,,,30.8,
2017-12-16T00:51:00.283Z,50,,,,,30.8,
2017-12-16T00:51:10.278Z,50,,,,,30.9,
2017-12-16T00:51:20.279Z,50,,,,,30.9,
2017-12-16T00:51:30.280Z,50,,,,,30.9,
2017-12-16T00:51:40.278Z,50,,,,,30.8,
2017-12-16T00:51:50.282Z,50,,,,,30.8,
2017-12-16T00:52:00.278Z,50,,,,,30.9,
2017-12-16T00:52:10.278Z,50,,,39.4,,30.8,
2017-12-16T00:52:20.278Z,50,,,,,30.8,
2017-12-16T00:52:30.276Z,50,,,,,30.8,
2017-12-16T00:52:40.281Z,50,,,,,30.8,
2017-12-16T00:52:50.286Z,50,,,,,30.8,
2017-12-16T00:53:00.279Z,50,,,,,30.8,
2017-12-16T00:53:10.278Z,50,,,,,30.8,
2017-12-16T00:53:20.278Z,50,,,,,30.8,
2017-12-16T00:53:30.279Z,50,,,39.3,,30.8,
2017-12-16T00:53:40.278Z,50,,,,,30.8,
2017-12-16T00:53:50.278Z,50,,,,,30.8,
2017-12-16T00:54:00.278Z,50,,,,,30.8,
2017-12-16T00:54:10.275Z,50,,,,,30.8,
2017-12-16T00:54:20.275Z,50,,,,,30.8,
2017-12-16T00:54:30.274Z,50,,,39.2,,30.8,
2017-12-16T00:54:40.279Z,50,,,,,30.8,
2017-12-16T00:54:50.278Z,50,,,,,30.8,
2017-12-16T00:55:00.275Z,50,,,,,30.8,
2017-12-16T00:55:10.275Z,50,,,,,30.8,
2017-12-16T00:55:20.278Z,50,,,,,30.8,
2017-12-16T00:55:30.278Z,50,,,,,30.8,
2017-12-16T00:55:40.278Z,50,,,,,30.8,
2017-12-16T00:55:50.277Z,50,,,39.1,,30.8,
2017-12-16T00:56:00.278Z,50,,,,,30.8,
2017-12-16T00:56:10.278Z,50,,,,,30.8,
2017-12-16T00:56:20.278Z,50,,,,,30.8,
2017-12-16T00:56:30.275Z,50,,,,,30.8,
2017-12-16T00:56:40.278Z,50,,,,,30.8,
2017-12-16T00:56:50.278Z,50,,,,,30.8,
2017-12-16T00:57:00.275Z,50,,,38.9,,30.8,
2017-12-16T00:57:10.275Z,50,,,,,30.8,
2017-12-16T00:57:20.274Z,50,,,,,30.8,
2017-12-16T00:57:30.275Z,50,,,,,30.8,
2017-12-16T00:57:40.275Z,50,,,,,30.8,
2017-12-16T00:57:50.276Z,50,,,,,30.8,
2017-12-16T00:58:00.275Z,50,,,,,30.8,
2017-12-16T00:58:10.275Z,50,,,38.9,1,30.7,0
2017-12-16T00:58:20.276Z,50,37,,44.2,,30.7,
2017-12-16T00:58:30.275Z,50,30,,43.7,,30.7,
2017-12-16T00:58:40.276Z,50,29,,41.5,,30.7,
2017-12-16T00:58:50.275Z,50,,,38.9,,30.7,
2017-12-16T00:59:00.275Z,50,0,,37.5,1,30.7,0
2017-12-16T00:59:10.275Z,50,,,34.4,,30.7,
2017-12-16T00:59:20.275Z,50,,,33.2,,30.7,
2017-12-16T00:59:30.275Z,50,,,33.1,,30.7,
2017-12-16T00:59:40.275Z,50,,,33.2,,30.7,
2017-12-16T00:59:50.275Z,50,,,33.4,,30.7,
2017-12-16T01:00:00.277Z,50,,,33.5,,30.7,
2017-12-16T01:00:10.275Z,50,,,,,30.7,
2017-12-16T01:00:20.275Z,50,,,33.4,,30.7,
2017-12-16T01:00:30.275Z,50,,,33.2,,30.7,
2017-12-16T01:00:40.275Z,50,0,59,33.1,1,30.7,0
2017-12-16T01:00:50.275Z,50,,,32.9,,30.7,
2017-12-16T01:01:00.274Z,50,,,32.8,,30.7,
2017-12-16T01:01:10.274Z,50,,,,,30.7,
2017-12-16T01:01:20.276Z,50,,,,,30.7,
2017-12-16T01:01:30.275Z,50,,,32.9,,30.7,
2017-12-16T01:01:40.275Z,50,,,,,30.7,
2017-12-16T01:01:50.275Z,50,,,32.8,,30.7,
2017-12-16T01:02:00.275Z,50,,,,,30.7,
2017-12-16T01:02:10.275Z,50,,,,,30.7,
2017-12-16T01:02:20.275Z,50,,,,,30.6,
2017-12-16T01:02:30.275Z,50,,,,,30.6,
2017-12-16T01:02:40.274Z,50,,,,,30.6,
2017-12-16T01:02:50.275Z,50,,,,,30.6,
2017-12-16T01:03:00.325Z,50,,,,,30.6,
2017-12-16T01:03:10.315Z,50,,,,,30.6,
2017-12-16T01:03:20.308Z,50,,,,,30.6,
2017-12-16T01:03:30.275Z,50,,,,,30.6,
2017-12-16T01:03:40.283Z,50,,,,,30.6,
2017-12-16T01:03:50.275Z,50,,,,,30.6,
2017-12-16T01:04:00.275Z,50,,,,,30.6,
2017-12-16T01:04:10.275Z,50,,,,,30.6,
2017-12-16T01:04:20.275Z,50,,,,,30.6,
2017-12-16T01:04:30.275Z,50,,,,,30.6,
