Time,HwTOutlet,PrimT,ActPow,HwActive,PrimTSet,HwTSet,ChActive
2018-02-13T00:45:48.547Z,31.8,,,,,50,
2018-02-13T00:45:58.559Z,31.8,,,,,50,
2018-02-13T00:46:18.547Z,31.8,,,,,50,
2018-02-13T00:46:28.547Z,31.8,,,,,50,
2018-02-13T00:46:48.547Z,31.8,,,,,50,
2018-02-13T00:46:58.549Z,31.8,,,,,50,
2018-02-13T00:47:18.547Z,31.8,,,,,50,
2018-02-13T00:47:28.547Z,31.8,,,,,50,
2018-02-13T00:47:38.547Z,,39.7,,,,,
2018-02-13T00:47:48.548Z,31.8,,,,,50,
2018-02-13T00:47:58.548Z,31.8,,,,,50,
2018-02-13T00:48:18.547Z,31.6,,,,,50,
2018-02-13T00:48:28.547Z,31.6,,,,,50,
2018-02-13T00:48:48.547Z,31.6,,,,,50,
2018-02-13T00:48:58.548Z,31.6,,,,,50,
2018-02-13T00:49:08.550Z,,39.6,,,,,
2018-02-13T00:49:18.548Z,31.6,,,,,50,
2018-02-13T00:49:28.547Z,31.6,,,,,50,
2018-02-13T00:49:48.547Z,31.6,,,,,50,
2018-02-13T00:49:58.547Z,31.6,,,,,50,
2018-02-13T00:50:18.547Z,31.6,39.5,,,,50,
2018-02-13T00:50:28.548Z,31.5,,,,,50,
2018-02-13T00:50:48.547Z,31.5,,,,,50,
2018-02-13T00:50:58.547Z,31.5,,,,,50,
2018-02-13T00:51:18.547Z,31.5,,,,,50,
2018-02-13T00:51:28.547Z,31.5,,,,,50,
2018-02-13T00:51:38.547Z,,39.4,,,,,
2018-02-13T00:51:48.547Z,31.5,,,,,50,
2018-02-13T00:51:58.605Z,31.5,,,,,50,
2018-02-13T00:52:18.587Z,31.5,39.3,,,,50,
2018-02-13T00:52:28.571Z,31.5,,,,,50,
2018-02-13T00:52:48.558Z,31.4,,,,,50,
2018-02-13T00:52:58.547Z,31.4,,,,,50,
2018-02-13T00:53:18.606Z,31.4,,,,,50,
2018-02-13T00:53:28.547Z,31.4,,,,,50,
2018-02-13T00:53:38.550Z,,39.2,,,,,
2018-02-13T00:53:48.547Z,31.4,,,,,50,
2018-02-13T00:53:58.547Z,31.4,,,,,50,
2018-02-13T00:54:18.547Z,31.4,,,,,50,
2018-02-13T00:54:28.548Z,31.3,41.1,42,0,,50,2
2018-02-13T00:54:38.548Z,31.4,45,32,,,50,
2018-02-13T00:54:48.547Z,31.3,42.6,30,,,50,
2018-02-13T00:54:58.547Z,31.3,41.3,,,,50,
2018-02-13T00:55:08.547Z,31.3,38.7,29,,,50,
2018-02-13T00:55:18.547Z,,37.8,,,,,
2018-02-13T00:55:28.547Z,31.3,37.5,30,,,50,
2018-02-13T00:55:38.547Z,31.3,37.8,,,,50,
2018-02-13T00:55:48.548Z,31.3,38.2,29,,,50,
2018-02-13T00:55:58.547Z,,38.6,,,,,
2018-02-13T00:56:08.547Z,31.3,38.7,30,,,50,
2018-02-13T00:56:18.548Z,31.3,,,,,50,
2018-02-13T00:56:28.547Z,31.3,38.9,29,,,50,
2018-02-13T00:56:38.547Z,,39.2,,,,,
2018-02-13T00:56:48.548Z,31.3,39.4,,,,50,
2018-02-13T00:56:58.547Z,31.3,,,,,50,
2018-02-13T00:57:08.671Z,31.3,39.9,30,,,50,
2018-02-13T00:57:18.547Z,,40,29,,,,
2018-02-13T00:57:28.547Z,31.3,40.2,,,,50,
2018-02-13T00:57:38.547Z,31.3,,,,,50,
2018-02-13T00:57:48.548Z,31.2,40.6,,,,50,
2018-02-13T00:57:58.554Z,,40.8,,,,,
2018-02-13T00:58:08.548Z,31.2,40.9,30,,,50,
2018-02-13T00:58:18.568Z,,41.1,,,,,
