Time,ActPow,ChActive,HwActive,PrimTSet,PrimT,HwTOutlet,HwTSet
2017-11-21T00:39:21.310Z,,,,,,26.1,52
2017-11-21T00:39:51.320Z,,,,,28.7,26.1,52
2017-11-21T00:40:01.310Z,,,,,,26.1,52
2017-11-21T00:40:21.310Z,,,,,,26.1,52
2017-11-21T00:40:51.311Z,,,,,28.6,26,52
2017-11-21T00:41:01.311Z,,,,,,26,52
2017-11-21T00:41:11.481Z,,,,,28.4,,
2017-11-21T00:41:21.311Z,,,,,,26,52
2017-11-21T00:41:31.311Z,0,0,0,5,28.4,,
2017-11-21T00:41:51.312Z,,,,,28.2,26,52
2017-11-21T00:42:01.310Z,,,,,,26,52
2017-11-21T00:42:21.311Z,,,,,,25.9,52
2017-11-21T00:42:31.311Z,,,,,28.1,,
2017-11-21T00:42:41.390Z,,,,,,25.9,52
2017-11-21T00:42:51.311Z,,,,,28,25.9,52
2017-11-21T00:43:01.310Z,,,,,27.8,25.9,52
2017-11-21T00:43:11.311Z,,,,,27.8,,
2017-11-21T00:43:21.310Z,,,,,,25.9,52
2017-11-21T00:43:41.391Z,,,,,,25.9,52
2017-11-21T00:43:51.311Z,,,,,27.7,25.7,52
2017-11-21T00:44:01.315Z,,,,,,25.7,52
2017-11-21T00:44:11.310Z,,,,,,25.7,52
2017-11-21T00:44:21.312Z,,,,,27.6,,
2017-11-21T00:44:31.315Z,,,,,,25.7,52
2017-11-21T00:44:51.312Z,,,,,27.5,25.7,52
2017-11-21T00:45:01.313Z,,,,,,25.7,52
2017-11-21T00:45:11.312Z,,,,,27.3,,
2017-11-21T00:45:21.310Z,,,,,,25.7,52
2017-11-21T00:45:51.310Z,,,,,,25.6,52
2017-11-21T00:46:01.315Z,,,,,27.2,,
2017-11-21T00:46:11.311Z,,,,,27.1,25.6,52
2017-11-21T00:46:21.312Z,,,,,,25.6,52
2017-11-21T00:46:51.310Z,,,,,,25.6,52
2017-11-21T00:47:01.310Z,,,,,27,25.6,52
2017-11-21T00:47:11.318Z,,,,,,25.5,52
2017-11-21T00:47:41.391Z,,,,,26.9,,
2017-11-21T00:47:51.311Z,,,,,,25.5,52
2017-11-21T00:48:11.311Z,,,,,,25.5,52
2017-11-21T00:48:21.315Z,,,,,,25.5,52
2017-11-21T00:48:31.315Z,,,,,26.7,,
2017-11-21T00:48:51.316Z,,,,,,25.5,52
2017-11-21T00:49:01.310Z,,,,,,25.5,52
2017-11-21T00:49:11.315Z,,,,,26.6,,
2017-11-21T00:49:26.353Z,,,,,,25.5,52
2017-11-21T00:49:51.326Z,,,,,26.5,25.4,52
2017-11-21T00:50:01.317Z,,,,,,25.4,52
2017-11-21T00:50:21.310Z,,,,,,25.4,52
2017-11-21T00:50:51.311Z,,,,,26.4,25.4,52
2017-11-21T00:51:11.310Z,,,,,,25.4,52
2017-11-21T00:51:21.316Z,,,,,,25.4,52
2017-11-21T00:51:51.310Z,,,,,26.3,25.4,52
2017-11-21T00:52:11.310Z,,,,,,25.3,52
2017-11-21T00:52:21.310Z,,,,,,25.3,52
2017-11-21T00:52:51.310Z,,,,,26.1,25.3,52
2017-11-21T00:53:11.314Z,,,,,,25.3,52
2017-11-21T00:53:21.310Z,,,,,,25.3,52
2017-11-21T00:53:31.310Z,,,,,26,,
2017-11-21T00:53:51.401Z,,,,,,25.3,52
2017-11-21T00:54:11.310Z,,,,,,25.3,52
2017-11-21T00:54:21.312Z,,,,,,25.3,52
2017-11-21T00:54:31.310Z,,,,,,25.3,52
2017-11-21T00:54:41.390Z,,,,,,25.1,52
2017-11-21T00:54:51.310Z,,,,,26,25.1,52
2017-11-21T00:55:01.310Z,,,,,25.9,,
2017-11-21T00:55:11.310Z,,,,,,25.1,52
2017-11-21T00:55:31.310Z,,,,,,25.1,52
2017-11-21T00:55:51.310Z,,,,,,25.1,52
2017-11-21T00:56:11.312Z,,,,,,25.1,52
2017-11-21T00:56:21.326Z,,,,,,25.1,52
2017-11-21T00:56:31.311Z,,,,,25.8,,
2017-11-21T00:56:51.311Z,,,,,,25.1,52
2017-11-21T00:57:11.310Z,,,,,,25.1,52
2017-11-21T00:57:21.310Z,,,,,,25.1,52
2017-11-21T00:57:51.310Z,,,,,,25,52
2017-11-21T00:58:11.312Z,,,,,25.7,25,52
2017-11-21T00:58:21.310Z,,,,,,25,52
2017-11-21T00:58:51.310Z,,,,,,25,52
2017-11-21T00:59:11.314Z,,,,,,25,52
2017-11-21T00:59:21.310Z,,,,,,25,52
2017-11-21T00:59:51.310Z,,,,,25.5,25,52
2017-11-21T01:00:11.314Z,,,,,,25,52
2017-11-21T01:00:21.310Z,,,,,,24.9,52
2017-11-21T01:00:51.310Z,,,,,,24.9,52
2017-11-21T01:01:11.310Z,,,,,,24.9,52
2017-11-21T01:01:21.310Z,,,,,,24.9,52
2017-11-21T01:01:51.311Z,,,,,25.4,24.9,52
2017-11-21T01:02:01.311Z,,,,,,24.9,52
2017-11-21T01:02:21.310Z,,,,,,24.9,52
2017-11-21T01:02:51.311Z,,,,,,24.9,52
2017-11-21T01:03:01.311Z,,,,,,24.9,52
2017-11-21T01:03:21.310Z,,,,,,24.9,52
2017-11-21T01:03:51.313Z,,,,,,24.9,52
2017-11-21T01:04:11.310Z,,,,,,24.9,52
2017-11-21T01:04:21.313Z,,,,,,24.8,52
2017-11-21T01:04:56.330Z,,,,,,24.8,52
2017-11-21T01:05:01.312Z,,,,,25.3,,
2017-11-21T01:05:16.331Z,,,,,,24.8,52
2017-11-21T01:05:21.338Z,,,,,,24.8,52
2017-11-21T01:05:51.310Z,,,,,,24.8,52
2017-11-21T01:06:11.314Z,,,,,,24.8,52
2017-11-21T01:06:21.314Z,,,,,,24.8,52
2017-11-21T01:06:51.311Z,,,,,,24.8,52
2017-11-21T01:07:01.310Z,,,,,,24.8,52
2017-11-21T01:07:21.315Z,,,,,,24.8,52
2017-11-21T01:07:51.315Z,,,,,,24.7,52
2017-11-21T01:08:01.310Z,,,,,,24.7,52
2017-11-21T01:08:11.310Z,,,,,25.2,,
2017-11-21T01:08:21.312Z,,,,,,24.7,52
2017-11-21T01:08:51.316Z,,,,,,24.7,52
2017-11-21T01:09:11.312Z,,,,,,24.7,52
2017-11-21T01:09:21.317Z,,,,,,24.7,52
2017-11-21T01:09:51.310Z,,,,,,24.7,52
2017-11-21T01:10:11.310Z,,,,,,24.7,52
2017-11-21T01:10:21.310Z,,,,,,24.7,52
2017-11-21T01:10:51.310Z,,,,,,24.7,52
2017-11-21T01:11:01.310Z,,,,,,24.7,52
2017-11-21T01:11:21.310Z,,,,,,24.7,52
2017-11-21T01:11:51.310Z,,,,,25.1,24.7,52
2017-11-21T01:12:01.312Z,,,,,,24.7,52
2017-11-21T01:12:21.420Z,,,,,,24.5,52
2017-11-21T01:12:51.311Z,,,,,,24.5,52
2017-11-21T01:13:11.310Z,,,,,,24.5,52
2017-11-21T01:13:21.310Z,,,,,,24.5,52
2017-11-21T01:13:51.310Z,,,,,,24.5,52
2017-11-21T01:14:11.318Z,,,,,,24.5,52
2017-11-21T01:14:21.313Z,,,,,,24.5,52
2017-11-21T01:14:51.310Z,,,,,,24.5,52
2017-11-21T01:15:01.310Z,,,,,,24.5,52
2017-11-21T01:15:21.310Z,,,,,,24.5,52
2017-11-21T01:15:51.311Z,,,,,,24.5,52
2017-11-21T01:16:11.310Z,,,,,,24.5,52
2017-11-21T01:16:21.315Z,,,,,,24.5,52
2017-11-21T01:16:41.393Z,,,,,,24.5,52
2017-11-21T01:16:51.310Z,,,,,25.1,24.4,52
2017-11-21T01:17:01.310Z,,,,,25.1,24.5,52
2017-11-21T01:17:11.316Z,,,,,24.9,24.5,52
2017-11-21T01:17:21.314Z,,,,,24.9,24.4,52
2017-11-21T01:17:31.310Z,,,,,24.9,24.4,52
2017-11-21T01:17:41.390Z,,,,,25.1,,
2017-11-21T01:17:51.310Z,,,,,24.9,24.4,52
2017-11-21T01:18:01.310Z,,,,,,24.4,52
2017-11-21T01:18:11.313Z,,,,,,24.4,52
2017-11-21T01:18:21.310Z,,,,,,24.4,52
2017-11-21T01:18:41.390Z,,,,,24.9,,
2017-11-21T01:18:51.310Z,,,,,,24.4,52
2017-11-21T01:19:11.314Z,,,,,,24.4,52
2017-11-21T01:19:31.311Z,,,,,,24.4,52
2017-11-21T01:19:51.310Z,,,,,,24.4,52
2017-11-21T01:20:11.310Z,,,,,,24.4,52
2017-11-21T01:20:21.368Z,,,,,,24.4,52
2017-11-21T01:20:51.310Z,,,,,,24.4,52
2017-11-21T01:21:11.310Z,,,,,,24.4,52
2017-11-21T01:21:21.311Z,,,,,,24.4,52
2017-11-21T01:21:51.313Z,,,,,,24.4,52
2017-11-21T01:22:11.310Z,,,,,,24.4,52
2017-11-21T01:22:21.313Z,,,,,,24.4,52
2017-11-21T01:22:51.310Z,,,,,,24.3,52
2017-11-21T01:23:11.311Z,,,,,,24.3,52
2017-11-21T01:23:21.310Z,,,,,,24.3,52
2017-11-21T01:23:51.313Z,,,,,,24.3,52
2017-11-21T01:24:01.310Z,,,,,,24.3,52
2017-11-21T01:24:21.310Z,,,,,,24.3,52
2017-11-21T01:24:51.315Z,,,,,,24.3,52
2017-11-21T01:25:01.314Z,,,,,,24.3,52
2017-11-21T01:25:11.319Z,,,,,24.8,,
2017-11-21T01:25:21.320Z,,,,,,24.3,52
2017-11-21T01:25:31.315Z,,,,,24.9,,
2017-11-21T01:25:51.310Z,,,,,24.9,24.3,52
2017-11-21T01:26:01.315Z,,,,,,24.3,52
2017-11-21T01:26:11.313Z,,,,,24.8,,
2017-11-21T01:26:21.310Z,,,,,,24.3,52
2017-11-21T01:26:51.310Z,,,,,,24.3,52
2017-11-21T01:27:11.311Z,,,,,,24.3,52
2017-11-21T01:27:21.310Z,,,,,,24.3,52
2017-11-21T01:27:51.411Z,,,,,,24.3,52
2017-11-21T01:28:11.310Z,,,,,,24.3,52
