Time,HwTSet,HwActive,ChActive,PrimTSet,ActPow,HwTOutlet,PrimT
2018-01-13T00:31:41.387Z,50,,,,,31.8,
2018-01-13T00:31:51.385Z,50,,,,,31.8,
2018-01-13T00:32:01.384Z,50,,,,,31.8,
2018-01-13T00:32:11.382Z,50,,,,,31.6,
2018-01-13T00:32:21.383Z,50,,,,,31.6,
2018-01-13T00:32:31.382Z,50,,,,,31.6,
2018-01-13T00:32:41.383Z,50,,,,,31.6,
2018-01-13T00:32:51.383Z,50,,,,,31.6,
2018-01-13T00:33:01.384Z,50,,,,,31.5,
2018-01-13T00:33:11.382Z,50,,,,,31.5,
2018-01-13T00:33:21.386Z,50,,,,,31.5,
2018-01-13T00:33:31.383Z,50,,,,,31.5,
2018-01-13T00:33:41.383Z,50,,,,,31.5,
2018-01-13T00:33:51.420Z,50,,,,,31.5,
2018-01-13T00:34:01.382Z,50,,,,,31.4,
2018-01-13T00:34:11.385Z,50,,,,,31.4,35.5
2018-01-13T00:34:21.388Z,50,,,,,31.4,
2018-01-13T00:34:31.397Z,50,,,,,31.4,
2018-01-13T00:34:41.395Z,50,,,,,31.4,
2018-01-13T00:34:51.393Z,50,,,,,31.3,
2018-01-13T00:35:01.382Z,50,,,,,31.3,
2018-01-13T00:35:11.385Z,50,,,,,31.3,
2018-01-13T00:35:21.382Z,50,,,,,31.3,
2018-01-13T00:35:31.383Z,50,,,,,31.3,
2018-01-13T00:35:41.382Z,50,,,,,31.3,
2018-01-13T00:35:51.382Z,50,,,,,31.2,
2018-01-13T00:36:01.382Z,50,,,,,31.2,
2018-01-13T00:36:11.382Z,50,,,,,31.2,
2018-01-13T00:36:21.382Z,50,,,,,31.2,
2018-01-13T00:36:31.382Z,50,,,,,31.2,
2018-01-13T00:36:41.383Z,50,,,,,31,
2018-01-13T00:36:51.383Z,50,,,,,31,35.4
2018-01-13T00:37:01.383Z,50,,,,,31,
2018-01-13T00:37:11.382Z,50,,,,,31,
2018-01-13T00:37:21.382Z,50,,,,,31,
2018-01-13T00:37:31.386Z,50,,,,,31,
2018-01-13T00:37:41.382Z,50,,,,,31,
2018-01-13T00:37:51.384Z,50,,,,,30.9,
2018-01-13T00:38:01.382Z,50,,,,,30.9,
2018-01-13T00:38:11.382Z,50,,,,,30.9,
2018-01-13T00:38:21.382Z,50,,,,,30.9,
2018-01-13T00:38:31.399Z,50,,,,,30.9,
2018-01-13T00:38:41.391Z,50,,,,,30.9,
2018-01-13T00:38:51.386Z,50,,,,,30.8,
2018-01-13T00:39:01.382Z,50,,,,,30.8,
2018-01-13T00:39:11.382Z,50,,,,,30.8,
2018-01-13T00:39:21.383Z,50,,,,,30.8,
2018-01-13T00:39:31.382Z,50,,,,,30.8,
2018-01-13T00:39:41.382Z,50,,,,,30.8,
2018-01-13T00:39:51.382Z,50,,,,,30.8,35.3
2018-01-13T00:40:01.475Z,50,,,,,30.7,
2018-01-13T00:40:11.418Z,50,,,,,30.7,
2018-01-13T00:40:21.382Z,50,,,,,30.7,
2018-01-13T00:40:31.382Z,50,,,,,30.7,
2018-01-13T00:40:41.382Z,50,,,,,30.7,
2018-01-13T00:40:51.382Z,50,,,,,30.7,
2018-01-13T00:41:01.382Z,50,,,,,30.7,
2018-01-13T00:41:11.396Z,50,,,,,30.7,
2018-01-13T00:41:21.383Z,50,,,,,30.7,
2018-01-13T00:41:31.384Z,50,,,,,30.6,
2018-01-13T00:41:41.387Z,50,0,2,59,,30.6,
2018-01-13T00:41:51.382Z,50,,,,,30.6,
2018-01-13T00:42:01.382Z,50,,,,,30.6,
2018-01-13T00:42:11.382Z,50,,,,,30.6,
2018-01-13T00:42:21.382Z,50,,,,,30.6,
2018-01-13T00:42:31.397Z,50,,,,,30.6,
2018-01-13T00:42:41.459Z,50,,,,,30.6,
2018-01-13T00:42:51.421Z,50,,,,,30.6,
2018-01-13T00:43:01.423Z,50,,,,,30.4,35.2
2018-01-13T00:43:11.406Z,50,,,,,30.4,
2018-01-13T00:43:21.389Z,50,,,,,30.4,
2018-01-13T00:43:31.403Z,50,,,,,30.4,
2018-01-13T00:43:41.404Z,50,,,,,30.4,
2018-01-13T00:43:51.398Z,50,,,,,30.4,
2018-01-13T00:44:01.385Z,50,,,,,30.4,
2018-01-13T00:44:11.382Z,50,,,,,30.4,
2018-01-13T00:44:21.407Z,50,,,,,30.3,
2018-01-13T00:44:31.431Z,50,,,,,30.3,
2018-01-13T00:44:41.382Z,50,,,,,30.3,
2018-01-13T00:44:51.381Z,50,,,,,30.3,
2018-01-13T00:45:01.382Z,50,,,,,30.3,
2018-01-13T00:45:11.405Z,50,,,,,30.3,
2018-01-13T00:45:21.404Z,50,,,,,30.3,
2018-01-13T00:45:31.388Z,50,,,,,30.3,
2018-01-13T00:45:41.382Z,50,,,,,30.3,35.1
2018-01-13T00:45:51.382Z,50,,,,,30.3,
2018-01-13T00:46:01.384Z,50,,,,,30.3,
2018-01-13T00:46:11.382Z,50,,,,,30.2,
2018-01-13T00:46:21.382Z,50,,,,,30.2,
2018-01-13T00:46:31.382Z,50,,,,,30.2,
2018-01-13T00:46:41.382Z,50,,,,,30.2,
2018-01-13T00:46:51.382Z,50,,,,,30.2,
2018-01-13T00:47:01.396Z,50,,,,,30.2,
2018-01-13T00:47:11.382Z,50,,,,,30.2,
2018-01-13T00:47:21.387Z,50,,,,,30.2,
2018-01-13T00:47:31.383Z,50,0,0,5,,30.1,
2018-01-13T00:47:41.382Z,50,,,,,30.1,
2018-01-13T00:47:51.390Z,50,,,,,30.1,
2018-01-13T00:48:01.382Z,50,,,,,30.1,
2018-01-13T00:48:11.402Z,50,,,,,30.1,
2018-01-13T00:48:21.408Z,50,,,,,30.1,34.9
2018-01-13T00:48:31.382Z,50,,,,,30.1,35.1
2018-01-13T00:48:41.382Z,50,,,,,30.1,
2018-01-13T00:48:51.382Z,50,,,,,30.1,34.9
2018-01-13T00:49:01.383Z,50,,,,,30.1,34.9
2018-01-13T00:49:11.388Z,50,,,,,30.1,
2018-01-13T00:49:21.486Z,50,,,,,30,
2018-01-13T00:49:31.382Z,50,,,,,30,
2018-01-13T00:49:41.382Z,50,,,,,30,
2018-01-13T00:49:51.383Z,50,,,,,30,
2018-01-13T00:50:01.401Z,50,,,,,30,
2018-01-13T00:50:11.382Z,50,,,,,30,
2018-01-13T00:50:21.399Z,50,,,,,30,
2018-01-13T00:50:31.383Z,50,,,,,30,
2018-01-13T00:50:41.382Z,50,,,,,30,
2018-01-13T00:50:51.382Z,50,,,,,30,
2018-01-13T00:51:01.382Z,50,,,,,30,
2018-01-13T00:51:11.381Z,50,,,,,29.8,
2018-01-13T00:51:21.382Z,50,,,,,29.8,
2018-01-13T00:51:31.382Z,50,,,,,29.8,
2018-01-13T00:51:41.382Z,50,,,,,29.8,
2018-01-13T00:51:51.383Z,50,0,2,59,,29.8,
2018-01-13T00:52:01.382Z,50,0,0,5,0,29.8,38
2018-01-13T00:52:11.383Z,50,0,2,59,,29.8,34.7
2018-01-13T00:52:21.382Z,50,0,0,5,,29.8,30.6
2018-01-13T00:52:31.394Z,50,,,,,29.8,28.2
2018-01-13T00:52:41.388Z,50,0,2,59,,29.8,25.9
2018-01-13T00:52:51.395Z,50,,,,,29.8,24.9
2018-01-13T00:53:01.402Z,50,,,,,29.7,24.8
2018-01-13T00:53:11.408Z,50,,,,,29.7,25.1
2018-01-13T00:53:21.383Z,50,,,,,29.7,25.4
2018-01-13T00:53:31.401Z,50,,,,,29.7,25.7
2018-01-13T00:53:41.389Z,50,,,,,29.7,25.8
2018-01-13T00:53:51.384Z,50,,,,,29.7,
2018-01-13T00:54:01.386Z,50,,,,,29.7,
2018-01-13T00:54:11.382Z,50,,,,,29.7,
2018-01-13T00:54:21.385Z,50,,,,,29.7,
2018-01-13T00:54:31.382Z,50,,,,,29.7,
2018-01-13T00:54:41.386Z,50,,,,,29.7,25.9
2018-01-13T00:54:51.382Z,50,,,,,29.6,25.8
2018-01-13T00:55:01.382Z,50,,,,,29.6,
2018-01-13T00:55:11.382Z,50,,,,,29.6,
2018-01-13T00:55:21.384Z,50,,,,,29.6,
2018-01-13T00:55:31.382Z,50,,,,,29.6,
2018-01-13T00:55:41.383Z,50,,,,,29.6,25.7
2018-01-13T00:55:51.382Z,50,,,,,29.6,25.8
2018-01-13T00:56:01.382Z,50,,,,,29.6,
2018-01-13T00:56:11.382Z,50,,,,,29.5,25.7
2018-01-13T00:56:21.382Z,50,,,,,29.5,
2018-01-13T00:56:31.382Z,50,,,,,29.5,25.8
2018-01-13T00:56:41.382Z,50,,,,,29.5,
2018-01-13T00:56:51.382Z,50,,,,,29.5,
2018-01-13T00:57:01.382Z,50,0,2,,0,29.5,30.2
2018-01-13T00:57:11.383Z,50,,,,,29.3,27.8
2018-01-13T00:57:21.386Z,50,,,,,29.3,26.7
2018-01-13T00:57:31.383Z,50,,,,,29.3,25.8
2018-01-13T00:57:41.385Z,50,,,,,29.3,25.5
2018-01-13T00:57:51.382Z,50,,,,,29.3,25.4
2018-01-13T00:58:01.391Z,50,,,,,29.3,
2018-01-13T00:58:11.382Z,50,,,,,29.2,25.5
2018-01-13T00:58:21.384Z,50,0,2,59,0,29.2,25.8
2018-01-13T00:58:31.392Z,50,,,,,29.2,
2018-01-13T00:58:41.424Z,50,,,,,29.2,
2018-01-13T00:58:51.381Z,50,,,,,29.1,
