Time,HwActive,HwTSet,ActPow,PrimT,HwTOutlet,PrimTSet,ChActive
2018-02-01T01:01:08.878Z,,,,40.5,,,
2018-02-01T01:01:18.883Z,,50,29,40.7,39.3,,
2018-02-01T01:01:28.878Z,,50,,,39.2,,
2018-02-01T01:01:38.882Z,,50,,40.9,39.1,,
2018-02-01T01:01:48.913Z,,,30,41.1,,,
2018-02-01T01:01:58.890Z,,50,29,41.3,38.9,,
2018-02-01T01:02:08.878Z,,50,,,38.9,,
2018-02-01T01:02:18.895Z,0,50,0,40.9,38.8,,2
2018-02-01T01:02:28.878Z,,50,,38.6,38.7,,
2018-02-01T01:02:38.879Z,,,,37.5,,,
2018-02-01T01:02:48.879Z,,50,,37.2,38.7,,
2018-02-01T01:02:58.878Z,,50,,37.1,38.5,,
2018-02-01T01:03:08.879Z,,50,,,38.5,,
2018-02-01T01:03:28.879Z,,50,,,38.4,,
2018-02-01T01:03:38.878Z,,50,,,38.3,,
2018-02-01T01:03:48.898Z,,,,36.9,,,
2018-02-01T01:03:58.880Z,,50,,36.8,38.2,,
2018-02-01T01:04:08.878Z,,50,,,38.1,,
2018-02-01T01:04:18.881Z,,,,36.7,,,
2018-02-01T01:04:28.934Z,,50,,36.6,38,,
2018-02-01T01:04:38.879Z,,50,,,37.9,,
2018-02-01T01:04:58.879Z,,50,,36.5,37.8,,
2018-02-01T01:05:08.879Z,,50,,,37.8,,
2018-02-01T01:05:18.878Z,,50,,,37.7,,
2018-02-01T01:05:38.878Z,,50,,,37.6,,
2018-02-01T01:05:48.880Z,,50,,,37.5,,
2018-02-01T01:05:58.879Z,,50,,,37.5,,
2018-02-01T01:06:18.887Z,,50,,,37.4,,
2018-02-01T01:06:28.890Z,,50,,,37.3,,
2018-02-01T01:06:38.879Z,,,,36.4,,,
2018-02-01T01:06:48.885Z,,50,,,37.2,,
2018-02-01T01:06:58.892Z,,50,,,37.2,,
2018-02-01T01:07:08.912Z,,50,,,37.1,,
2018-02-01T01:07:28.880Z,,50,,36.5,36.9,,
2018-02-01T01:07:38.883Z,,50,,,36.8,,
2018-02-01T01:07:58.879Z,,50,,,36.7,,
2018-02-01T01:08:08.880Z,,50,,,36.7,,
2018-02-01T01:08:28.879Z,,50,,,36.6,,
2018-02-01T01:08:38.879Z,,50,,,36.5,,
2018-02-01T01:08:58.879Z,,50,,,36.5,,
2018-02-01T01:09:08.880Z,,50,,,36.4,,
2018-02-01T01:09:18.887Z,,,,36.6,,,
2018-02-01T01:09:28.897Z,,50,,,36.3,,
2018-02-01T01:09:38.888Z,,50,,,36.3,,
2018-02-01T01:09:58.889Z,,50,,36.7,36.2,,
2018-02-01T01:10:08.892Z,,50,,,36.1,,
