Time,HwTOutlet,PrimT,HwTSet,PrimTSet,ChActive,HwActive,ActPow
2018-01-21T00:49:59.161Z,29.3,,50,,,,
2018-01-21T00:50:09.161Z,29.3,,50,,,,
2018-01-21T00:50:19.162Z,29.3,,50,,,,
2018-01-21T00:50:29.161Z,29.3,,50,,,,
2018-01-21T00:50:39.161Z,29.3,,50,,,,
2018-01-21T00:50:49.161Z,29.3,34,50,,,,
2018-01-21T00:50:59.161Z,29.3,34,50,,,,
2018-01-21T00:51:09.161Z,29.3,,50,,,,
2018-01-21T00:51:19.164Z,29.3,,50,,,,
2018-01-21T00:51:29.161Z,29.3,,50,,,,
2018-01-21T00:51:39.161Z,29.2,,50,,,,
2018-01-21T00:51:49.161Z,29.3,,50,,,,
2018-01-21T00:51:59.161Z,29.2,,50,,,,
2018-01-21T00:52:09.161Z,29.2,,50,,,,
2018-01-21T00:52:19.160Z,29.2,,50,,,,
2018-01-21T00:52:29.161Z,29.2,,50,,,,
2018-01-21T00:52:39.161Z,29.2,,50,,,,
2018-01-21T00:52:49.161Z,29.2,,50,,,,
2018-01-21T00:52:59.161Z,29.2,,50,,,,
2018-01-21T00:53:09.160Z,29.2,,50,,,,
2018-01-21T00:53:19.161Z,29.2,,50,,,,
2018-01-21T00:53:29.161Z,29.2,,50,,,,
2018-01-21T00:53:39.160Z,29.2,,50,,,,
2018-01-21T00:53:49.161Z,29.2,,50,,,,
2018-01-21T00:53:59.162Z,29.2,,50,,,,
2018-01-21T00:54:09.162Z,29.2,,50,,,,
2018-01-21T00:54:19.161Z,29.2,,50,,,,
2018-01-21T00:54:29.161Z,29.2,,50,,,,
2018-01-21T00:54:39.161Z,29.2,,50,,,,
2018-01-21T00:54:49.161Z,29.2,,50,,,,
2018-01-21T00:54:59.170Z,29.2,,50,,,,
2018-01-21T00:55:09.172Z,29.2,,50,,,,
2018-01-21T00:55:19.172Z,29.2,,50,,,,
2018-01-21T00:55:29.171Z,29.1,,50,,,,
2018-01-21T00:55:39.171Z,29.2,,50,,,,
2018-01-21T00:55:49.203Z,29.1,,50,,,,
2018-01-21T00:55:59.203Z,29.1,33.9,50,,,,
2018-01-21T00:56:09.202Z,29.1,33.9,50,,,,
2018-01-21T00:56:19.169Z,29.1,,50,,,,
2018-01-21T00:56:29.173Z,29.1,,50,,,,
2018-01-21T00:56:39.181Z,29.1,,50,,,,
2018-01-21T00:56:49.168Z,29.1,,50,,,,
2018-01-21T00:56:59.168Z,29.1,,50,,,,
2018-01-21T00:57:09.168Z,29.1,,50,,,,
2018-01-21T00:57:19.168Z,29.1,,50,,,,
2018-01-21T00:57:29.174Z,29.1,,50,,,,
2018-01-21T00:57:39.168Z,29.1,,50,,,,
2018-01-21T00:57:49.168Z,29.1,,50,,,,
2018-01-21T00:57:59.167Z,29.1,,50,,,,
2018-01-21T00:58:09.167Z,29.1,,50,,,,
2018-01-21T00:58:19.166Z,29.1,,50,,,,
2018-01-21T00:58:29.166Z,29.1,33.8,50,,,,
2018-01-21T00:58:39.165Z,29.1,,50,,,,
2018-01-21T00:58:49.165Z,29.1,,50,,,,
2018-01-21T00:58:59.170Z,29,,50,,,,
2018-01-21T00:59:09.167Z,29.1,,50,,,,
2018-01-21T00:59:19.167Z,29,,50,,,,
2018-01-21T00:59:29.166Z,29,38.2,50,,1,0,38
2018-01-21T00:59:39.190Z,29,39.9,50,,,,29
2018-01-21T00:59:49.166Z,29,37.5,50,,,,29
2018-01-21T00:59:59.164Z,29,35.8,50,,,,30
2018-01-21T01:00:09.164Z,29,34.8,50,,,,30
2018-01-21T01:00:19.164Z,29,34.7,50,,,,29
2018-01-21T01:00:29.164Z,29,34.9,50,,,,30
2018-01-21T01:00:39.164Z,29,35.4,50,,,,30
2018-01-21T01:00:49.168Z,29,35.8,50,,,,29
2018-01-21T01:00:59.164Z,29,36,50,,,,29
2018-01-21T01:01:09.164Z,29,36.1,50,,,,30
2018-01-21T01:01:19.164Z,29,36.3,50,,,,29
2018-01-21T01:01:29.164Z,29,36.4,50,,,,30
2018-01-21T01:01:39.162Z,29,36.6,50,,,,
2018-01-21T01:01:49.164Z,29,36.8,50,,,,29
2018-01-21T01:01:59.170Z,29,37.1,50,,,,
2018-01-21T01:02:09.163Z,29,37.2,50,,,,
2018-01-21T01:02:19.161Z,29,37.4,50,,,,30
2018-01-21T01:02:29.161Z,29,37.5,50,,,,29
2018-01-21T01:02:39.161Z,29,37.7,50,,,,
2018-01-21T01:02:49.162Z,29,37.8,50,,,,
2018-01-21T01:02:59.166Z,29,38,50,,,,
2018-01-21T01:03:09.163Z,29,38.1,50,,,,
2018-01-21T01:03:19.165Z,29,38.3,50,,,,
2018-01-21T01:03:29.167Z,29,38.4,50,,,,
2018-01-21T01:03:39.174Z,29,38.6,50,,,,
2018-01-21T01:03:49.160Z,29,38.7,50,,,,
2018-01-21T01:03:59.160Z,29,38.9,50,,,,
2018-01-21T01:04:09.160Z,29,39.1,50,,,,29
2018-01-21T01:04:19.160Z,29,39.3,50,,,,
2018-01-21T01:04:29.164Z,29,39.5,50,,,,
2018-01-21T01:04:39.160Z,29,39.6,50,,,,
2018-01-21T01:04:49.163Z,29,39.8,50,,,,
2018-01-21T01:04:59.160Z,29,39.9,50,,,,30
2018-01-21T01:05:09.161Z,29,40.1,50,,,,29
2018-01-21T01:05:19.168Z,29,40.3,50,,,,
2018-01-21T01:05:29.160Z,29,40.4,50,,,,
2018-01-21T01:05:39.161Z,29.1,40.5,50,,,,0
2018-01-21T01:05:49.160Z,29,38.4,50,,1,0,
2018-01-21T01:05:59.160Z,29.1,36.5,50,,,,
2018-01-21T01:06:09.160Z,29.1,35.9,50,,,,
2018-01-21T01:06:19.160Z,29.1,35.7,50,,,,
2018-01-21T01:06:29.160Z,29.1,,50,,,,
2018-01-21T01:06:39.160Z,29.1,,50,,,,
2018-01-21T01:06:49.163Z,29.1,,50,,,,
2018-01-21T01:06:59.166Z,29.1,,50,,,,
2018-01-21T01:07:09.160Z,29.1,35.6,50,,,,
2018-01-21T01:07:19.160Z,29.1,35.5,50,,,,
2018-01-21T01:07:29.160Z,29.1,35.4,50,,,,
2018-01-21T01:07:39.160Z,29.1,35.3,50,,,,
2018-01-21T01:07:49.161Z,29.1,,50,,,,
2018-01-21T01:07:59.160Z,29.1,,50,,,,
2018-01-21T01:08:09.160Z,29.1,,50,,,,
2018-01-21T01:08:19.160Z,29.2,,50,,,,
2018-01-21T01:08:29.160Z,29.2,35.2,50,,,,
2018-01-21T01:08:39.160Z,29.1,,50,,,,
2018-01-21T01:08:49.160Z,29.2,35.1,50,,,,
2018-01-21T01:08:59.171Z,29.2,,50,,,,
2018-01-21T01:09:09.160Z,29.2,,50,,,,
2018-01-21T01:09:19.160Z,29.2,,50,,,,
2018-01-21T01:09:29.172Z,29.2,,50,,,,
2018-01-21T01:09:39.165Z,29.2,,50,,,,
2018-01-21T01:09:49.176Z,29.2,,50,,,,
2018-01-21T01:09:59.160Z,29.2,,50,,,,
2018-01-21T01:10:09.160Z,29.2,,50,,,,
2018-01-21T01:10:19.160Z,29.2,,50,,,,
2018-01-21T01:10:29.160Z,29.2,,50,,,,
2018-01-21T01:10:39.160Z,29.2,,50,,,,
2018-01-21T01:10:49.160Z,29.2,,50,,,,
2018-01-21T01:10:59.160Z,29.2,,50,,,,
2018-01-21T01:11:09.160Z,29.2,,50,,,,
2018-01-21T01:11:19.167Z,29.2,,50,,,,
2018-01-21T01:11:29.160Z,29.2,,50,,,,
2018-01-21T01:11:39.160Z,29.2,35.2,50,,,,
2018-01-21T01:11:49.160Z,29.2,,50,,,,
2018-01-21T01:11:59.160Z,29.2,,50,,,,
2018-01-21T01:12:09.162Z,29.2,,50,,,,
2018-01-21T01:12:19.160Z,29.2,,50,,,,
2018-01-21T01:12:29.160Z,29.2,35.3,50,,,,
2018-01-21T01:12:39.160Z,29.2,,50,,,,
2018-01-21T01:12:49.160Z,29.2,,50,,,,
2018-01-21T01:12:59.161Z,29.2,,50,,,,
2018-01-21T01:13:09.160Z,29.2,35.4,50,,,,
2018-01-21T01:13:19.160Z,29.2,,50,,,,
2018-01-21T01:13:29.160Z,29.2,,50,,,,
2018-01-21T01:13:39.160Z,29.2,,50,,,,
2018-01-21T01:13:49.160Z,29.2,,50,,,,
2018-01-21T01:13:59.159Z,29.2,35.5,50,,,,
2018-01-21T01:14:09.160Z,29.2,,50,,,,
2018-01-21T01:14:19.160Z,29.2,,50,,,,
2018-01-21T01:14:29.162Z,29.2,,50,,,,
2018-01-21T01:14:39.160Z,29.2,,50,,,,
2018-01-21T01:14:49.160Z,29.2,,50,,,,
2018-01-21T01:14:59.160Z,29.2,,50,,,,
2018-01-21T01:15:09.160Z,29.2,,50,,,,
2018-01-21T01:15:19.162Z,29.2,,50,,,,
2018-01-21T01:15:29.160Z,29.2,35.5,50,59,1,0,0
2018-01-21T01:15:39.160Z,29.2,,50,,,,
