Time,HwTSet,HwActive,ActPow,PrimTSet,ChActive,PrimT,HwTOutlet
2017-12-05T00:41:28.822Z,,0,,5,0,,
2017-12-05T00:41:38.823Z,50,,,,,,32.6
2017-12-05T00:41:48.823Z,,0,,59,2,36.1,
2017-12-05T00:41:58.825Z,50,,,,,,32.5
2017-12-05T00:42:08.822Z,50,,,,,,32.5
2017-12-05T00:42:18.822Z,,,,,,36,
2017-12-05T00:42:28.823Z,50,,,,,35.9,32.4
2017-12-05T00:42:38.824Z,50,,,,,35.9,32.4
2017-12-05T00:42:58.823Z,50,,,,,,32.3
2017-12-05T00:43:08.822Z,50,,,,,,32.3
2017-12-05T00:43:18.822Z,,,,,,35.8,
2017-12-05T00:43:28.822Z,50,,,,,,32.2
2017-12-05T00:43:38.823Z,50,,,,,,32.2
2017-12-05T00:43:48.823Z,,,,,,35.7,
2017-12-05T00:43:58.823Z,50,,,,,,32.1
2017-12-05T00:44:08.823Z,50,,,,,35.6,32.1
2017-12-05T00:44:18.822Z,50,0,,5,0,,32.1
2017-12-05T00:44:28.822Z,,0,,59,2,,
2017-12-05T00:44:38.822Z,50,,,,,35.5,32
2017-12-05T00:44:48.823Z,50,,,,,,32
2017-12-05T00:44:58.823Z,50,,,,,,31.9
2017-12-05T00:45:08.822Z,50,,,,,,31.9
2017-12-05T00:45:18.831Z,50,0,,5,0,35.4,31.9
2017-12-05T00:45:28.822Z,,0,,59,2,,
2017-12-05T00:45:38.822Z,50,,,,,,31.8
2017-12-05T00:45:48.827Z,50,,,,,35.3,31.8
2017-12-05T00:45:58.823Z,50,0,,5,0,,31.8
2017-12-05T00:46:08.822Z,,0,,59,2,,
2017-12-05T00:46:18.822Z,50,,,,,,31.6
2017-12-05T00:46:28.824Z,50,,,,,,31.6
2017-12-05T00:46:38.827Z,,,,,,35.2,
2017-12-05T00:46:48.822Z,50,,,,,,31.6
2017-12-05T00:46:58.822Z,50,,,,,,31.5
2017-12-05T00:47:08.822Z,50,,,,,,31.5
2017-12-05T00:47:18.823Z,,,,,,35.1,
2017-12-05T00:47:28.824Z,50,,,,,,31.4
2017-12-05T00:47:38.826Z,50,,,,,,31.4
2017-12-05T00:47:48.869Z,50,0,,5,0,34.9,31.4
2017-12-05T00:47:58.865Z,50,0,,59,2,,31.4
2017-12-05T00:48:18.822Z,50,,,,,,31.3
2017-12-05T00:48:28.828Z,50,,,,,,31.3
2017-12-05T00:48:48.826Z,50,,,,,34.8,31.2
2017-12-05T00:48:58.823Z,50,,,,,,31.2
2017-12-05T00:49:08.822Z,50,,,,,,31.2
2017-12-05T00:49:28.822Z,50,,,,,34.7,31
2017-12-05T00:49:38.822Z,50,,,,,,31
2017-12-05T00:49:58.822Z,50,,,,,,31
2017-12-05T00:50:08.822Z,50,,,,,,30.9
2017-12-05T00:50:18.822Z,,,,,,34.6,
2017-12-05T00:50:28.822Z,50,,,,,,30.9
2017-12-05T00:50:38.822Z,50,,,,,,30.9
2017-12-05T00:50:58.822Z,50,,,,,,30.8
2017-12-05T00:51:08.822Z,50,,,,,,30.8
2017-12-05T00:51:18.822Z,,,,,,34.5,
2017-12-05T00:51:28.822Z,50,,,,,,30.8
2017-12-05T00:51:38.822Z,50,,,,,,30.8
2017-12-05T00:51:58.822Z,50,,,,,,30.7
2017-12-05T00:52:08.827Z,50,,,,,,30.7
2017-12-05T00:52:18.822Z,,,,,,34.4,
2017-12-05T00:52:28.822Z,50,,,,,,30.7
2017-12-05T00:52:38.822Z,50,,,,,,30.6
2017-12-05T00:52:58.822Z,50,,,,,,30.6
2017-12-05T00:53:08.822Z,50,,,,,,30.6
2017-12-05T00:53:28.822Z,50,,,,,34.3,30.4
2017-12-05T00:53:38.822Z,50,,,,,,30.4
2017-12-05T00:53:58.823Z,50,,,,,,30.4
