Time,PrimT,ActPow,ChActive,HwActive,HwTOutlet,HwTSet,PrimTSet
2017-12-15T00:40:00.311Z,,,,,36.1,50,
2017-12-15T00:40:10.311Z,,,,,36.1,50,
2017-12-15T00:40:20.311Z,37.5,,,,36.1,50,
2017-12-15T00:40:30.311Z,,,,,36.1,50,
2017-12-15T00:40:40.313Z,,,,,36.1,50,
2017-12-15T00:40:50.311Z,,,,,36.1,50,
2017-12-15T00:41:00.312Z,,,,,36.1,50,
2017-12-15T00:41:10.311Z,,,,,36,50,
2017-12-15T00:41:20.311Z,,,,,36,50,
2017-12-15T00:41:30.311Z,,,,,36,50,
2017-12-15T00:41:40.311Z,37.4,,,,36,50,
2017-12-15T00:41:50.311Z,,,,,36,50,
2017-12-15T00:42:00.312Z,,,,,36,50,
2017-12-15T00:42:10.311Z,,,,,36,50,
2017-12-15T00:42:20.311Z,,,,,36,50,
2017-12-15T00:42:30.311Z,,,,,36,50,
2017-12-15T00:42:40.348Z,,,,,36,50,
2017-12-15T00:42:50.339Z,,,,,36,50,
2017-12-15T00:43:00.331Z,,,,,36,50,
2017-12-15T00:43:10.320Z,37.3,,,,36,50,
2017-12-15T00:43:20.314Z,,,,,36,50,
2017-12-15T00:43:30.314Z,,,,,36,50,
2017-12-15T00:43:40.314Z,,,,,35.9,50,
2017-12-15T00:43:50.314Z,,,,,35.9,50,
2017-12-15T00:44:00.315Z,,,,,35.9,50,
2017-12-15T00:44:10.314Z,,,,,35.9,50,
2017-12-15T00:44:20.314Z,,,,,35.9,50,
2017-12-15T00:44:30.314Z,,,,,35.9,50,
2017-12-15T00:44:40.314Z,37.2,,,,35.9,50,
2017-12-15T00:44:50.314Z,,,,,35.9,50,
2017-12-15T00:45:00.314Z,,,,,35.9,50,
2017-12-15T00:45:10.314Z,,,,,35.8,50,
2017-12-15T00:45:20.314Z,41.7,38,1,0,35.8,50,
2017-12-15T00:45:30.313Z,42.6,30,,,35.8,50,
2017-12-15T00:45:40.314Z,39.4,30,,,35.8,50,
2017-12-15T00:45:50.313Z,37.4,29,,,35.8,50,
2017-12-15T00:46:00.315Z,35.9,,,,35.8,50,
2017-12-15T00:46:10.314Z,33.9,0,1,0,35.8,50,
2017-12-15T00:46:20.314Z,31.8,,,,35.8,50,
2017-12-15T00:46:30.314Z,31.5,,,,35.7,50,
2017-12-15T00:46:40.314Z,31.5,,,,35.8,50,
2017-12-15T00:46:50.323Z,31.6,,,,35.8,50,
2017-12-15T00:47:00.314Z,,,,,35.8,50,
2017-12-15T00:47:10.314Z,,,,,35.7,50,
2017-12-15T00:47:20.314Z,,,,,35.7,50,
2017-12-15T00:47:30.314Z,31.5,,,,35.7,50,
2017-12-15T00:47:40.314Z,31.3,,,,35.7,50,
2017-12-15T00:47:50.315Z,,,,,35.7,50,
2017-12-15T00:48:00.317Z,31.2,,,,35.7,50,
2017-12-15T00:48:10.314Z,,,,,35.7,50,
