Time,ActPow,ChActive,PrimTSet,HwActive,HwTSet,HwTOutlet,PrimT
2018-02-08T00:29:08.695Z,,,,,50,34.6,
2018-02-08T00:29:28.691Z,,,,,50,34.6,38.8
2018-02-08T00:29:38.690Z,,,,,50,34.6,
2018-02-08T00:29:58.695Z,,,,,50,34.7,
2018-02-08T00:30:08.690Z,,,,,50,34.7,
2018-02-08T00:30:18.690Z,,,,,,,38.9
2018-02-08T00:30:28.692Z,,,,,50,34.7,
2018-02-08T00:30:38.691Z,,,,,50,34.7,
2018-02-08T00:30:48.692Z,,,,,,,39.1
2018-02-08T00:30:58.690Z,,,,,50,34.7,
2018-02-08T00:31:08.693Z,,,,,50,34.7,
2018-02-08T00:31:28.691Z,,,,,50,34.8,39.2
2018-02-08T00:31:38.691Z,,,,,50,34.8,
2018-02-08T00:31:58.694Z,,,,,50,34.8,
2018-02-08T00:32:08.691Z,,,,,50,34.8,
2018-02-08T00:32:28.692Z,,,,,50,34.8,39.3
2018-02-08T00:32:38.692Z,,,,,50,34.8,
2018-02-08T00:32:58.691Z,,,,,50,34.8,
2018-02-08T00:33:08.692Z,,,,,50,34.8,
2018-02-08T00:33:28.692Z,,,,,50,34.9,
2018-02-08T00:33:38.692Z,,,,,50,34.8,
2018-02-08T00:33:58.691Z,,,,,50,34.9,
2018-02-08T00:34:08.690Z,,,,,50,34.9,
2018-02-08T00:34:28.690Z,,,,,50,34.9,
2018-02-08T00:34:38.690Z,,,,,50,34.9,
2018-02-08T00:34:58.692Z,,,,,50,34.9,
2018-02-08T00:35:08.690Z,,,,,50,34.9,
2018-02-08T00:35:28.691Z,,,,,50,34.9,39.2
2018-02-08T00:35:38.690Z,,,,,50,34.9,
2018-02-08T00:35:58.691Z,,,,,50,34.9,
2018-02-08T00:36:08.690Z,,,,,50,35.1,
2018-02-08T00:36:28.690Z,,,,,50,35.1,
2018-02-08T00:36:38.690Z,,,,,50,35.1,
2018-02-08T00:36:58.711Z,,,,,50,35.1,39.1
2018-02-08T00:37:08.690Z,,,,,50,35.1,
2018-02-08T00:37:28.690Z,,,,,50,35.1,
2018-02-08T00:37:38.690Z,,,,,50,35.1,
2018-02-08T00:37:58.690Z,,,,,50,35.1,
2018-02-08T00:38:08.690Z,,,,,50,35.1,
2018-02-08T00:38:28.691Z,,,,,50,35.1,
2018-02-08T00:38:38.690Z,,,,,,,38.9
2018-02-08T00:38:48.705Z,,,,,50,35.1,
2018-02-08T00:38:58.690Z,38,1,,0,50,35.1,43
2018-02-08T00:39:08.690Z,29,,,,50,35.1,44.9
2018-02-08T00:39:18.690Z,,,,,50,35.1,42
2018-02-08T00:39:28.692Z,29,,,,50,35.1,40.5
2018-02-08T00:39:38.692Z,29,,,,,,39.3
2018-02-08T00:39:48.690Z,,,,,50,35.1,38.8
2018-02-08T00:39:58.692Z,,,,,50,35.1,39.1
2018-02-08T00:40:08.690Z,,,,,50,35.1,39.6
2018-02-08T00:40:18.690Z,,,,,50,35.1,40
